Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Derrick Favors,UTA,27,1,0.0,0.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Joe Johnson,UTA,7,1,0.1,1.7%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Thabo Sefolosha,UTA,26,4,0.2,2.2%,0.50,2,0.1,1,0.0,3,0.1,33.3,33.3,0.0%,25.0%,0.0%,0.0%,25.0%,
Michael Kidd-Gilchrist,CHA,20,5,0.3,2.6%,0.00,0,0.0,0,0.0,5,0.3,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Kyle Kuzma,LAL,25,7,0.3,1.8%,0.57,4,0.2,1,0.0,5,0.2,20.0,20.0,14.3%,14.3%,14.3%,0.0%,28.6%,
Sean Kilpatrick,BKN,16,6,0.4,5.5%,0.83,5,0.3,2,0.1,6,0.4,33.3,33.3,33.3%,0.0%,33.3%,33.3%,33.3%,
Caris LeVert,BKN,26,13,0.5,3.8%,0.54,7,0.3,3,0.1,10,0.4,30.0,35.0,0.0%,23.1%,0.0%,0.0%,23.1%,9.2
Jrue Holiday,NOP,28,29,1.0,5.7%,1.28,37,1.3,16,0.6,24,0.9,66.7,72.9,3.4%,13.8%,0.0%,0.0%,58.6%,90.8
Terry Rozier III,BOS,29,13,0.4,4.6%,0.62,8,0.3,3,0.1,11,0.4,27.3,36.4,0.0%,15.4%,0.0%,0.0%,23.1%,14.5
Jameer Nelson,NOP,24,15,0.6,8.8%,0.73,11,0.5,5,0.2,12,0.5,41.7,45.8,0.0%,20.0%,0.0%,0.0%,33.3%,29.8
Shane Larkin,BOS,20,4,0.2,5.0%,0.25,1,0.1,0,0.0,3,0.2,0.0,0.0,25.0%,0.0%,0.0%,0.0%,25.0%,
LeBron James,CLE,28,11,0.4,1.6%,0.45,5,0.2,2,0.1,11,0.4,18.2,22.7,0.0%,0.0%,0.0%,0.0%,18.2%,1.5
