Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
De Aaron Fox,SAC,27,5,0.2,1.4%,0.00,0,0.0,0,0.0,4,0.1,0.0,0.0,0.0%,20.0%,0.0%,0.0%,0.0%,
Jeff Teague,MIN,24,5,0.2,1.3%,0.40,2,0.1,0,0.0,4,0.2,0.0,0.0,20.0%,0.0%,20.0%,0.0%,20.0%,
Shabazz Muhammad,MIN,22,3,0.1,2.9%,1.00,3,0.1,1,0.0,3,0.1,33.3,50.0,0.0%,0.0%,0.0%,0.0%,33.3%,
LaMarcus Aldridge,SAS,27,20,0.7,3.5%,0.75,15,0.6,7,0.3,20,0.7,35.0,35.0,5.0%,0.0%,5.0%,5.0%,35.0%,17.1
Danny Green,SAS,26,16,0.6,5.9%,0.88,14,0.5,5,0.2,13,0.5,38.5,50.0,6.3%,12.5%,6.3%,0.0%,37.5%,34.9
Manu Ginobili,SAS,23,15,0.7,6.7%,0.47,7,0.3,2,0.1,13,0.6,15.4,19.2,6.7%,6.7%,6.7%,0.0%,20.0%,4.6
Rudy Gay,SAS,26,5,0.2,1.5%,1.20,6,0.2,2,0.1,4,0.2,50.0,50.0,20.0%,0.0%,20.0%,0.0%,60.0%,
Damian Lillard,POR,26,36,1.4,5.3%,0.89,32,1.2,12,0.5,33,1.3,36.4,45.5,2.8%,5.6%,2.8%,0.0%,36.1%,39.5
Pat Connaughton,POR,26,27,1.0,17.0%,1.26,34,1.3,13,0.5,24,0.9,54.2,68.8,3.7%,7.4%,3.7%,0.0%,51.9%,87.0
Caris LeVert,BKN,26,6,0.2,1.8%,0.33,2,0.1,1,0.0,6,0.2,16.7,16.7,0.0%,0.0%,0.0%,0.0%,16.7%,
Jerryd Bayless,PHI,22,7,0.3,3.6%,0.86,6,0.3,3,0.1,6,0.3,50.0,50.0,0.0%,14.3%,0.0%,0.0%,42.9%,
Malcolm Brogdon,MIL,24,23,1.0,7.4%,0.83,19,0.8,6,0.3,20,0.8,30.0,35.0,13.0%,4.3%,4.3%,4.3%,34.8%,25.2
Dennis Smith Jr.,DAL,23,22,1.0,5.2%,0.82,18,0.8,6,0.3,19,0.8,31.6,39.5,9.1%,9.1%,9.1%,4.5%,31.8%,24.4
Joe  Ingles,UTA,27,42,1.6,14.9%,1.31,55,2.0,19,0.7,35,1.3,54.3,78.6,0.0%,16.7%,0.0%,0.0%,45.2%,90.8
Jake Layman,POR,1,2,2.0,50.0%,0.00,0,0.0,0,0.0,2,2.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Devin Booker,PHX,25,73,2.9,12.1%,1.14,83,3.3,30,1.2,67,2.7,44.8,57.5,5.5%,4.1%,1.4%,1.4%,45.2%,70.2
Wayne Ellington,MIA,26,34,1.3,18.0%,0.88,30,1.2,10,0.4,29,1.1,34.5,50.0,2.9%,14.7%,2.9%,2.9%,29.4%,37.4
Harrison Barnes,DAL,28,47,1.7,8.9%,1.04,49,1.8,19,0.7,39,1.4,48.7,55.1,6.4%,10.6%,6.4%,0.0%,46.8%,57.3
Kyrie Irving,BOS,27,50,1.9,8.6%,1.14,57,2.1,21,0.8,45,1.7,46.7,57.8,6.0%,6.0%,4.0%,2.0%,46.0%,72.3
Stephen Curry,GSW,23,101,4.4,19.1%,1.20,121,5.3,36,1.6,83,3.6,43.4,55.4,14.9%,6.9%,13.9%,4.0%,46.5%,80.2
Eric Gordon,HOU,23,55,2.4,12.8%,0.87,48,2.1,14,0.6,43,1.9,32.6,41.9,12.7%,9.1%,12.7%,0.0%,38.2%,33.1
JR Smith,CLE,28,48,1.7,19.3%,0.79,38,1.4,12,0.4,45,1.6,26.7,37.8,6.3%,4.2%,6.3%,4.2%,27.1%,21.4
Trevor Ariza,HOU,23,21,0.9,9.0%,1.00,21,0.9,7,0.3,20,0.9,35.0,47.5,4.8%,0.0%,4.8%,0.0%,38.1%,51.2
LeBron James,CLE,28,11,0.4,1.6%,1.27,14,0.5,5,0.2,8,0.3,62.5,75.0,9.1%,18.2%,0.0%,0.0%,54.5%,87.8
Kevin Durant,GSW,23,44,1.9,8.0%,1.05,46,2.0,19,0.8,38,1.7,50.0,59.2,2.3%,13.6%,2.3%,2.3%,43.2%,58.8
Jaylen Brown,BOS,27,17,0.6,4.3%,1.41,24,0.9,9,0.3,16,0.6,56.3,71.9,5.9%,5.9%,5.9%,5.9%,52.9%,93.9
Kevin Love,CLE,27,27,1.0,5.7%,0.74,20,0.7,7,0.3,25,0.9,28.0,38.0,3.7%,7.4%,3.7%,3.7%,25.9%,14.6
Jeff Green,CLE,28,10,0.4,3.6%,1.20,12,0.4,4,0.1,7,0.3,57.1,64.3,30.0%,10.0%,30.0%,10.0%,50.0%,81.5
Derrick Rose,CLE,7,3,0.4,2.7%,0.67,2,0.3,1,0.1,2,0.3,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Al Horford,BOS,27,7,0.3,1.9%,0.00,0,0.0,0,0.0,6,0.2,0.0,0.0,0.0%,14.3%,0.0%,0.0%,0.0%,
Klay Thompson,GSW,28,172,6.1,33.7%,1.06,182,6.5,72,2.6,159,5.7,45.3,54.7,2.9%,5.2%,2.9%,0.6%,44.2%,60.3
