Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Tyson Chandler,PHX,21,23,1.1,16.3%,1.17,27,1.3,10,0.5,15,0.7,66.7,66.7,30.4%,8.7%,30.4%,4.3%,65.2%,34.2
James Johnson,MIA,25,21,0.8,6.9%,1.24,26,1.0,10,0.4,15,0.6,66.7,66.7,28.6%,4.8%,23.8%,4.8%,71.4%,43.1
Marvin  Williams,CHA,26,24,0.9,11.3%,1.25,30,1.2,11,0.4,19,0.7,57.9,57.9,20.8%,0.0%,20.8%,0.0%,66.7%,46.2
Bradley Beal,WAS,27,34,1.3,5.3%,1.15,39,1.4,18,0.7,29,1.1,62.1,62.1,8.8%,5.9%,8.8%,2.9%,58.8%,30.7
DJ Augustin,ORL,21,2,0.1,1.2%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Justise Winslow,MIA,26,21,0.8,10.0%,1.05,22,0.8,9,0.3,18,0.7,50.0,50.0,9.5%,4.8%,9.5%,0.0%,52.4%,18.4
Thaddeus Young,IND,27,36,1.3,9.8%,1.06,38,1.4,19,0.7,32,1.2,59.4,59.4,2.8%,8.3%,2.8%,0.0%,52.8%,20.1
Lance Stephenson,IND,27,4,0.1,1.6%,1.00,4,0.1,1,0.0,3,0.1,33.3,33.3,25.0%,0.0%,25.0%,0.0%,50.0%,
Tobias Harris,DET,27,15,0.6,3.4%,1.47,22,0.8,10,0.4,12,0.4,83.3,83.3,6.7%,13.3%,6.7%,0.0%,73.3%,81.5
Andre Drummond,DET,27,65,2.4,15.8%,1.35,88,3.3,31,1.1,48,1.8,64.6,64.6,26.2%,3.1%,24.6%,3.1%,70.8%,66.8
JJ Redick,PHI,25,17,0.7,4.3%,1.47,25,1.0,10,0.4,12,0.5,83.3,83.3,17.6%,17.6%,11.8%,5.9%,70.6%,83.4
Kyrie Irving,BOS,27,27,1.0,4.6%,1.48,40,1.5,16,0.6,23,0.9,69.6,69.6,18.5%,0.0%,18.5%,3.7%,74.1%,85.6
Marc Gasol,MEM,27,33,1.2,5.8%,1.00,33,1.2,11,0.4,22,0.8,50.0,50.0,21.2%,12.1%,21.2%,0.0%,54.5%,10.9
Kent  Bazemore,ATL,27,6,0.2,1.6%,1.00,6,0.2,3,0.1,5,0.2,60.0,60.0,16.7%,16.7%,16.7%,16.7%,50.0%,
Dwight  Powell,DAL,27,33,1.2,19.8%,1.12,37,1.4,12,0.4,21,0.8,57.1,57.1,30.3%,12.1%,30.3%,6.1%,57.6%,25.2
Ekpe Udoh,UTA,25,18,0.7,25.7%,0.89,16,0.6,7,0.3,15,0.6,46.7,46.7,5.6%,11.1%,5.6%,0.0%,44.4%,4.5
Justin Jackson,SAC,18,10,0.6,7.8%,0.80,8,0.4,4,0.2,9,0.5,44.4,44.4,0.0%,10.0%,0.0%,0.0%,40.0%,2.5
Taj Gibson,MIN,28,82,2.9,27.2%,1.12,92,3.3,39,1.4,67,2.4,58.2,58.2,9.8%,8.5%,9.8%,0.0%,57.3%,25.7
Shabazz Muhammad,MIN,22,15,0.7,14.6%,0.93,14,0.6,6,0.3,13,0.6,46.2,46.2,6.7%,6.7%,6.7%,0.0%,46.7%,8.4
LaMarcus Aldridge,SAS,27,39,1.4,6.8%,1.28,50,1.9,19,0.7,31,1.1,61.3,61.3,17.9%,5.1%,17.9%,2.6%,64.1%,52.0
Patty Mills,SAS,28,7,0.3,2.4%,0.57,4,0.1,1,0.0,6,0.2,16.7,16.7,14.3%,0.0%,0.0%,0.0%,28.6%,
Meyers Leonard,POR,11,11,1.0,21.6%,1.36,15,1.4,7,0.6,10,0.9,70.0,70.0,9.1%,9.1%,9.1%,9.1%,63.6%,68.8
Marquese Chriss,PHX,29,22,0.8,10.2%,1.41,31,1.1,14,0.5,19,0.7,73.7,73.7,18.2%,4.5%,18.2%,9.1%,72.7%,74.3
Eric Gordon,HOU,23,7,0.3,1.6%,1.14,8,0.3,3,0.1,7,0.3,42.9,42.9,28.6%,0.0%,28.6%,28.6%,42.9%,
Jusuf Nurkic,POR,24,63,2.6,14.3%,1.02,64,2.7,29,1.2,52,2.2,55.8,55.8,9.5%,7.9%,11.1%,1.6%,52.4%,15.3
Jordan Bell,GSW,22,32,1.5,40.5%,1.44,46,2.1,23,1.0,30,1.4,76.7,76.7,0.0%,6.3%,0.0%,0.0%,71.9%,77.2
Jeff Green,CLE,28,46,1.6,16.5%,1.48,68,2.4,28,1.0,37,1.3,75.7,75.7,17.4%,8.7%,17.4%,6.5%,71.7%,85.1
Clint Capela,HOU,25,68,2.7,23.5%,1.32,90,3.6,42,1.7,61,2.4,68.9,68.9,11.8%,4.4%,11.8%,5.9%,64.7%,60.9
LeBron James,CLE,28,42,1.5,6.0%,1.81,76,2.7,32,1.1,37,1.3,86.5,86.5,19.0%,2.4%,16.7%,9.5%,85.7%,100.0
Aron Baynes,BOS,29,30,1.0,15.6%,1.03,31,1.1,11,0.4,21,0.7,52.4,52.4,20.0%,10.0%,20.0%,0.0%,56.7%,17.3
Jae Crowder,CLE,28,25,0.9,9.9%,1.16,29,1.0,11,0.4,19,0.7,57.9,57.9,16.0%,8.0%,16.0%,0.0%,60.0%,33.2
Tristan Thompson,CLE,9,6,0.7,16.7%,1.33,8,0.9,4,0.4,6,0.7,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Zaza Pachulia,GSW,25,48,1.9,35.3%,1.25,60,2.4,27,1.1,40,1.6,67.5,67.5,12.5%,12.5%,12.5%,8.3%,60.4%,46.2
Kevin Love,CLE,27,42,1.6,8.9%,1.48,62,2.3,23,0.9,32,1.2,71.9,71.9,26.2%,2.4%,23.8%,4.8%,73.8%,84.7
Jaylen Brown,BOS,27,37,1.4,9.3%,1.00,37,1.4,17,0.6,34,1.3,50.0,50.0,10.8%,2.7%,10.8%,5.4%,51.4%,10.9
Shaun Livingston,GSW,25,36,1.4,26.1%,1.11,40,1.6,19,0.8,33,1.3,57.6,57.6,2.8%,5.6%,2.8%,0.0%,55.6%,24.8
Jayson Tatum,BOS,29,14,0.5,4.1%,1.29,18,0.6,4,0.1,9,0.3,44.4,44.4,42.9%,7.1%,42.9%,14.3%,57.1%,53.5
Draymond Green,GSW,25,34,1.4,11.7%,1.18,40,1.6,17,0.7,25,1.0,68.0,68.0,17.6%,11.8%,17.6%,2.9%,64.7%,34.7
Stephen Curry,GSW,23,29,1.3,5.5%,1.41,41,1.8,18,0.8,24,1.0,75.0,75.0,10.3%,10.3%,10.3%,3.4%,69.0%,75.6
Klay Thompson,GSW,28,36,1.3,7.0%,1.31,47,1.7,22,0.8,35,1.3,62.9,62.9,5.6%,0.0%,5.6%,2.8%,63.9%,57.4
Al Horford,BOS,27,20,0.7,5.5%,1.40,28,1.0,13,0.5,19,0.7,68.4,68.4,5.0%,0.0%,5.0%,0.0%,70.0%,72.9
