Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Emmanuel Mudiay,DEN,30,18,0.6,5.3%,0.11,2,0.1,1,0.0,7,0.2,14.3,14.3,0.0%,61.1%,0.0%,0.0%,5.6%,4.7
Demetrius Jackson,HOU,3,1,0.3,8.3%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Taj Gibson,MIN,35,31,0.9,8.1%,0.61,19,0.5,3,0.1,10,0.3,30.0,30.0,25.8%,41.9%,3.2%,0.0%,35.5%,70.4
Jamal Crawford,MIN,35,16,0.5,4.4%,0.94,15,0.4,3,0.1,4,0.1,75.0,100.0,31.3%,43.8%,0.0%,0.0%,43.8%,96.1
Pau Gasol,SAS,33,29,0.9,8.2%,0.31,9,0.3,0,0.0,1,0.0,0.0,0.0,24.1%,72.4%,3.4%,0.0%,24.1%,25.3
Patty Mills,SAS,35,25,0.7,7.4%,0.20,5,0.1,0,0.0,8,0.2,0.0,0.0,12.0%,56.0%,0.0%,0.0%,12.0%,11.0
Joffrey Lauvergne,SAS,20,12,0.6,12.1%,0.33,4,0.2,1,0.1,3,0.2,33.3,33.3,25.0%,50.0%,0.0%,0.0%,16.7%,27.9
Meyers Leonard,POR,12,4,0.3,7.8%,1.00,4,0.3,1,0.1,1,0.1,100.0,100.0,25.0%,50.0%,0.0%,0.0%,50.0%,
Caleb Swanigan,POR,12,3,0.3,5.6%,0.33,1,0.1,0,0.0,0,0.0,0.0,0.0,33.3%,66.7%,0.0%,0.0%,33.3%,
Damian Lillard,POR,31,31,1.0,4.0%,0.81,25,0.8,3,0.1,10,0.3,30.0,40.0,29.0%,38.7%,0.0%,0.0%,38.7%,88.7
Alec Peters,PHX,1,1,1.0,33.3%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Marquese Chriss,PHX,36,26,0.7,9.6%,0.31,8,0.2,0,0.0,5,0.1,0.0,0.0,23.1%,57.7%,3.8%,0.0%,23.1%,24.0
Evan Turner,POR,33,20,0.6,6.3%,0.40,8,0.2,0,0.0,0,0.0,0.0,0.0,25.0%,75.0%,5.0%,0.0%,25.0%,39.9
Maurice  Harkless,POR,27,14,0.5,8.1%,0.36,5,0.2,1,0.0,4,0.1,25.0,25.0,14.3%,57.1%,7.1%,0.0%,21.4%,32.4
James Johnson,MIA,29,33,1.1,9.8%,0.61,20,0.7,5,0.2,12,0.4,41.7,41.7,24.2%,42.4%,3.0%,3.0%,33.3%,69.3
Quincy Acy,BKN,29,16,0.6,8.1%,0.44,7,0.2,0,0.0,1,0.0,0.0,0.0,25.0%,68.8%,6.3%,0.0%,25.0%,44.9
Lance Stephenson,IND,35,14,0.4,4.0%,0.21,3,0.1,0,0.0,5,0.1,0.0,0.0,14.3%,50.0%,0.0%,0.0%,14.3%,13.2
Joel Embiid,PHI,25,40,1.6,6.5%,0.38,15,0.6,0,0.0,7,0.3,0.0,0.0,25.0%,57.5%,0.0%,0.0%,22.5%,34.9
Robert Covington,PHI,31,29,0.9,6.4%,0.62,18,0.6,5,0.2,7,0.2,71.4,100.0,6.9%,69.0%,0.0%,0.0%,24.1%,71.2
Al Horford,BOS,35,36,1.0,7.7%,0.28,10,0.3,1,0.0,3,0.1,33.3,33.3,13.9%,77.8%,2.8%,0.0%,16.7%,20.5
Mario Chalmers,MEM,32,25,0.8,8.1%,0.32,8,0.3,1,0.0,8,0.3,12.5,12.5,20.0%,48.0%,0.0%,0.0%,20.0%,26.1
Nikola Jokic,DEN,28,32,1.1,7.3%,0.44,14,0.5,2,0.1,5,0.2,40.0,40.0,18.8%,65.6%,3.1%,0.0%,25.0%,44.9
George Hill,SAC,30,22,0.7,7.4%,0.73,16,0.5,3,0.1,5,0.2,60.0,80.0,22.7%,54.5%,4.5%,0.0%,36.4%,82.9
Skal Labissière,SAC,29,21,0.7,9.0%,0.24,5,0.2,0,0.0,7,0.2,0.0,0.0,19.0%,47.6%,0.0%,0.0%,19.0%,16.0
De Aaron Fox,SAC,29,20,0.7,5.4%,0.25,5,0.2,1,0.0,3,0.1,33.3,33.3,10.0%,80.0%,5.0%,5.0%,10.0%,17.3
Tyson Chandler,PHX,26,26,1.0,16.0%,0.23,6,0.2,0,0.0,0,0.0,0.0,0.0,23.1%,76.9%,3.8%,0.0%,19.2%,14.1
Elfrid Payton,ORL,26,24,0.9,6.8%,0.46,11,0.4,3,0.1,10,0.4,30.0,35.0,12.5%,45.8%,0.0%,0.0%,25.0%,48.4
Rudy Gobert,UTA,18,33,1.8,16.5%,0.58,19,1.1,0,0.0,1,0.1,0.0,0.0,39.4%,57.6%,6.1%,0.0%,36.4%,65.4
Eric Bledsoe,PHX,3,5,1.7,8.9%,0.00,0,0.0,0,0.0,1,0.3,0.0,0.0,0.0%,80.0%,0.0%,0.0%,0.0%,
Jaylen Brown,BOS,34,23,0.7,4.7%,0.61,14,0.4,5,0.1,8,0.2,62.5,68.8,17.4%,52.2%,4.3%,4.3%,30.4%,70.0
Jeff Green,CLE,35,22,0.6,6.4%,0.55,12,0.3,2,0.1,8,0.2,25.0,25.0,27.3%,36.4%,4.5%,0.0%,31.8%,60.2
Jae Crowder,CLE,35,15,0.4,4.8%,0.60,9,0.3,1,0.0,4,0.1,25.0,37.5,20.0%,53.3%,6.7%,0.0%,26.7%,68.4
Terry Rozier III,BOS,38,17,0.4,4.6%,0.47,8,0.2,2,0.1,9,0.2,22.2,22.2,11.8%,35.3%,0.0%,0.0%,23.5%,50.2
Stephen Curry,GSW,23,36,1.6,6.8%,1.03,37,1.6,9,0.4,16,0.7,56.3,65.6,27.8%,36.1%,11.1%,8.3%,44.4%,98.4
PJ Tucker,HOU,32,22,0.7,10.6%,0.50,11,0.3,0,0.0,1,0.0,0.0,0.0,31.8%,63.6%,0.0%,0.0%,27.3%,52.6
Marcus Smart,BOS,36,45,1.3,9.6%,0.33,15,0.4,0,0.0,4,0.1,0.0,0.0,24.4%,66.7%,2.2%,0.0%,22.2%,27.9
Kevin Durant,GSW,30,36,1.2,5.0%,0.69,25,0.8,4,0.1,8,0.3,50.0,62.5,25.0%,52.8%,0.0%,0.0%,36.1%,79.0
James Harden,HOU,32,47,1.5,5.0%,0.81,38,1.2,8,0.3,16,0.5,50.0,65.6,25.5%,42.6%,6.4%,2.1%,40.4%,89.1
Clint Capela,HOU,29,25,0.9,7.2%,0.04,1,0.0,0,0.0,2,0.1,0.0,0.0,8.0%,84.0%,0.0%,0.0%,4.0%,1.2
Jordan Bell,GSW,29,13,0.4,9.3%,0.08,1,0.0,0,0.0,1,0.0,0.0,0.0,7.7%,84.6%,0.0%,0.0%,7.7%,2.0
Nick Young,GSW,33,13,0.4,6.4%,0.15,2,0.1,1,0.0,6,0.2,16.7,16.7,0.0%,53.8%,0.0%,0.0%,7.7%,6.3
Draymond Green,GSW,29,43,1.5,12.3%,0.28,12,0.4,0,0.0,1,0.0,0.0,0.0,16.3%,81.4%,2.3%,0.0%,16.3%,21.8
Tristan Thompson,CLE,15,7,0.5,11.9%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,14.3%,85.7%,0.0%,0.0%,0.0%,
Dwyane Wade,CLE,32,32,1.0,7.7%,0.41,13,0.4,1,0.0,3,0.1,33.3,33.3,21.9%,68.8%,3.1%,0.0%,25.0%,41.6
