Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Dragan Bender,PHX,36,11,0.3,4.9%,0.36,4,0.1,2,0.1,8,0.2,25.0,25.0,9.1%,27.3%,9.1%,9.1%,18.2%,1.5
Andre Drummond,DET,33,50,1.5,9.9%,0.60,30,0.9,13,0.4,37,1.1,35.1,35.1,10.0%,18.0%,10.0%,2.0%,34.0%,7.5
Amir Johnson,PHI,31,17,0.5,10.3%,0.53,9,0.3,4,0.1,15,0.5,26.7,26.7,5.9%,5.9%,5.9%,0.0%,29.4%,3.7
Dirk Nowitzki,DAL,36,87,2.4,21.7%,0.95,83,2.3,34,0.9,72,2.0,47.2,47.2,11.5%,9.2%,11.5%,3.4%,47.1%,68.7
Joffrey Lauvergne,SAS,20,13,0.7,13.1%,0.54,7,0.4,3,0.2,10,0.5,30.0,30.0,7.7%,15.4%,7.7%,0.0%,30.8%,4.5
Maurice  Harkless,POR,27,22,0.8,12.7%,0.82,18,0.7,7,0.3,18,0.7,38.9,38.9,9.1%,9.1%,9.1%,0.0%,40.9%,42.1
Khris Middleton,MIL,32,53,1.7,8.3%,0.89,47,1.5,20,0.6,43,1.3,46.5,46.5,9.4%,11.3%,9.4%,1.9%,45.3%,57.5
Marc Gasol,MEM,35,212,6.1,29.2%,0.77,164,4.7,60,1.7,148,4.2,40.5,40.5,14.2%,18.4%,12.3%,2.4%,39.6%,28.4
Kosta Koufos,SAC,33,18,0.5,9.7%,0.83,15,0.5,6,0.2,14,0.4,42.9,42.9,16.7%,11.1%,5.6%,5.6%,44.4%,46.6
Caleb Swanigan,POR,12,10,0.8,18.5%,0.60,6,0.5,3,0.3,7,0.6,42.9,42.9,0.0%,30.0%,0.0%,0.0%,30.0%,10.8
Evan Turner,POR,33,47,1.4,14.7%,0.98,46,1.4,18,0.5,34,1.0,52.9,52.9,10.6%,17.0%,10.6%,0.0%,48.9%,75.4
Nikola Jokic,DEN,28,86,3.1,19.7%,1.01,87,3.1,31,1.1,62,2.2,50.0,50.0,18.6%,12.8%,17.4%,3.5%,51.2%,82.8
Marcus Smart,BOS,36,34,0.9,7.2%,0.68,23,0.6,8,0.2,23,0.6,34.8,34.8,26.5%,11.8%,14.7%,5.9%,35.3%,16.4
Kevin Durant,GSW,30,70,2.3,9.6%,1.01,71,2.4,26,0.9,49,1.6,53.1,53.1,17.1%,12.9%,15.7%,1.4%,51.4%,83.6
Jaylen Brown,BOS,34,37,1.1,7.6%,0.89,33,1.0,13,0.4,25,0.7,52.0,52.0,27.0%,21.6%,24.3%,16.2%,40.5%,59.7
Kyrie Irving,BOS,36,21,0.6,2.6%,0.95,20,0.6,10,0.3,19,0.5,52.6,52.6,4.8%,9.5%,4.8%,4.8%,47.6%,67.9
Chris Paul,HOU,16,7,0.4,2.8%,0.86,6,0.4,3,0.2,7,0.4,42.9,42.9,0.0%,0.0%,0.0%,0.0%,42.9%,
Ryan Anderson,HOU,31,6,0.2,2.0%,1.67,10,0.3,4,0.1,4,0.1,100.0,100.0,16.7%,16.7%,16.7%,0.0%,83.3%,
Shaun Livingston,GSW,29,25,0.9,15.8%,1.12,28,1.0,13,0.4,22,0.8,59.1,59.1,4.0%,8.0%,4.0%,0.0%,56.0%,91.0
Al Horford,BOS,35,122,3.5,26.1%,0.92,112,3.2,50,1.4,99,2.8,50.5,50.5,8.2%,11.5%,5.7%,0.8%,47.5%,63.4
LeBron James,CLE,35,97,2.8,10.8%,0.88,85,2.4,38,1.1,77,2.2,49.4,49.4,7.2%,15.5%,7.2%,2.1%,44.3%,55.2
Dwyane Wade,CLE,32,60,1.9,14.5%,0.83,50,1.6,18,0.6,46,1.4,39.1,39.1,13.3%,11.7%,11.7%,1.7%,41.7%,46.6
Kevin Love,CLE,34,122,3.6,19.9%,0.98,119,3.5,42,1.2,88,2.6,47.7,47.7,18.0%,12.3%,11.5%,2.5%,50.0%,74.6
Jeff Green,CLE,35,41,1.2,11.9%,0.76,31,0.9,13,0.4,35,1.0,37.1,37.1,7.3%,7.3%,7.3%,0.0%,39.0%,25.4
PJ Tucker,HOU,32,2,0.1,1.0%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Clint Capela,HOU,29,10,0.3,2.9%,0.60,6,0.2,2,0.1,7,0.2,28.6,28.6,10.0%,20.0%,10.0%,0.0%,30.0%,7.5
Aron Baynes,BOS,38,36,0.9,14.0%,0.83,30,0.8,13,0.3,28,0.7,46.4,46.4,8.3%,16.7%,8.3%,2.8%,41.7%,46.6
Jae Crowder,CLE,35,13,0.4,4.2%,0.77,10,0.3,4,0.1,8,0.2,50.0,50.0,15.4%,23.1%,15.4%,0.0%,38.5%,27.6
