Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
JJ Redick,PHI,24,32,1.3,8.6%,1.22,39,1.6,13,0.5,26,1.1,50.0,65.4,6.3%,12.5%,3.1%,0.0%,46.9%,94.9
Tim Frazier,WAS,26,38,1.5,27.3%,0.63,24,0.9,10,0.4,29,1.1,34.5,39.7,2.6%,23.7%,2.6%,2.6%,26.3%,20.3
E'Twaun Moore,NOP,28,22,0.8,6.7%,0.55,12,0.4,6,0.2,15,0.5,40.0,40.0,0.0%,31.8%,0.0%,0.0%,27.3%,12.8
Jordan Crawford,NOP,2,7,3.5,41.2%,0.71,5,2.5,2,1.0,6,3.0,33.3,41.7,0.0%,14.3%,0.0%,0.0%,28.6%,
Kent  Bazemore,ATL,26,104,4.0,28.3%,0.58,60,2.3,21,0.8,75,2.9,28.0,29.3,10.6%,18.3%,9.6%,1.0%,29.8%,15.2
Malcom Delaney,ATL,19,41,2.2,33.1%,0.54,22,1.2,5,0.3,25,1.3,20.0,20.0,19.5%,19.5%,9.8%,0.0%,31.7%,11.2
Tyus Jones,MIN,27,30,1.1,27.3%,0.73,22,0.8,7,0.3,22,0.8,31.8,34.1,13.3%,13.3%,10.0%,0.0%,36.7%,32.5
Khris Middleton,MIL,25,100,4.0,20.8%,1.06,106,4.2,43,1.7,77,3.1,55.8,57.8,9.0%,16.0%,9.0%,2.0%,50.0%,90.4
Wesley Matthews,DAL,27,49,1.8,14.3%,0.94,46,1.7,18,0.7,37,1.4,48.6,55.4,6.1%,20.4%,6.1%,2.0%,40.8%,77.2
Derrick Rose,CLE,7,46,6.6,41.1%,0.93,43,6.1,16,2.3,36,5.1,44.4,47.2,13.0%,10.9%,13.0%,2.2%,45.7%,76.6
James Harden,HOU,25,291,11.6,39.9%,0.85,248,9.9,79,3.2,201,8.0,39.3,45.5,13.1%,18.6%,11.3%,0.7%,38.8%,61.4
Eric Gordon,HOU,23,98,4.3,22.7%,0.91,89,3.9,26,1.1,71,3.1,36.6,44.4,16.3%,15.3%,16.3%,4.1%,38.8%,72.1
