Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Corey Brewer,LAL,26,25,1.0,31.3%,0.96,24,0.9,9,0.3,16,0.6,56.3,56.3,20.0%,24.0%,20.0%,8.0%,48.0%,30.1
Tyler Ennis,LAL,1,1,1.0,33.3%,2.00,2,2.0,1,1.0,1,1.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jerian Grant,CHI,26,35,1.3,14.5%,1.54,54,2.1,16,0.6,27,1.0,59.3,68.5,31.4%,2.9%,28.6%,11.4%,65.7%,96.7
Kyle Lowry,TOR,25,82,3.3,20.6%,1.22,100,4.0,35,1.4,62,2.5,56.5,70.2,9.8%,15.9%,4.9%,1.2%,51.2%,70.9
Andre Roberson,OKC,25,29,1.2,22.1%,1.03,30,1.2,14,0.6,21,0.8,66.7,66.7,10.3%,17.2%,10.3%,0.0%,55.2%,46.9
Danilo Gallinari,LAC,11,26,2.4,15.3%,0.85,22,2.0,9,0.8,22,2.0,40.9,43.2,7.7%,11.5%,3.8%,3.8%,38.5%,14.2
Fred VanVleet,TOR,25,34,1.4,18.9%,0.94,32,1.3,11,0.4,26,1.0,42.3,46.2,11.8%,11.8%,5.9%,0.0%,44.1%,28.1
Luol Deng,LAL,1,3,3.0,100.0%,0.67,2,2.0,1,1.0,2,2.0,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Julius Randle,LAL,26,65,2.5,19.9%,1.02,66,2.5,25,1.0,43,1.7,58.1,59.3,24.6%,16.9%,24.6%,7.7%,52.3%,43.5
Kyle Kuzma,LAL,25,88,3.5,22.6%,1.05,92,3.7,36,1.4,71,2.8,50.7,55.6,9.1%,12.5%,9.1%,2.3%,47.7%,49.8
Terrance Ferguson,OKC,2,4,2.0,66.7%,0.50,2,1.0,1,0.5,4,2.0,25.0,25.0,0.0%,0.0%,0.0%,0.0%,25.0%,
