Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Pau Gasol,SAS,33,27,0.8,7.6%,1.33,36,1.1,14,0.4,21,0.6,66.7,66.7,18.5%,3.7%,11.1%,0.0%,70.4%,83.8
Caleb Swanigan,POR,12,9,0.8,16.7%,0.78,7,0.6,3,0.3,9,0.8,33.3,33.3,11.1%,0.0%,11.1%,11.1%,33.3%,
Marquese Chriss,PHX,36,20,0.6,7.4%,1.05,21,0.6,9,0.3,17,0.5,52.9,52.9,15.0%,5.0%,15.0%,5.0%,55.0%,40.9
Dragan Bender,PHX,36,8,0.2,3.6%,1.00,8,0.2,4,0.1,8,0.2,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Tyson Chandler,PHX,26,47,1.8,29.0%,1.15,54,2.1,23,0.9,39,1.5,59.0,59.0,10.6%,6.4%,8.5%,0.0%,59.6%,56.0
Goran Dragic,MIA,31,13,0.4,2.4%,0.54,7,0.2,2,0.1,9,0.3,22.2,22.2,15.4%,15.4%,15.4%,0.0%,30.8%,2.2
Marcus Smart,BOS,36,16,0.4,3.4%,0.56,9,0.3,1,0.0,10,0.3,10.0,10.0,31.3%,6.3%,25.0%,0.0%,31.3%,3.3
Jarell Martin,MEM,33,23,0.7,11.7%,1.09,25,0.8,9,0.3,19,0.6,47.4,47.4,17.4%,0.0%,17.4%,0.0%,56.5%,46.7
Kevin Love,CLE,34,58,1.7,9.5%,1.10,64,1.9,24,0.7,49,1.4,49.0,50.0,15.5%,3.4%,12.1%,3.4%,53.4%,48.9
Iman Shumpert,CLE,13,1,0.1,1.3%,2.00,2,0.2,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
LeBron James,CLE,35,27,0.8,3.0%,1.26,34,1.0,15,0.4,22,0.6,68.2,70.5,7.4%,11.1%,7.4%,0.0%,63.0%,74.7
Jae Crowder,CLE,35,17,0.5,5.4%,1.71,29,0.8,10,0.3,15,0.4,66.7,76.7,23.5%,0.0%,23.5%,11.8%,70.6%,98.9
Luc Mbah a Moute,HOU,24,7,0.3,4.0%,1.43,10,0.4,4,0.2,6,0.3,66.7,66.7,14.3%,0.0%,0.0%,0.0%,71.4%,
PJ Tucker,HOU,32,16,0.5,7.7%,1.19,19,0.6,8,0.3,12,0.4,66.7,70.8,12.5%,12.5%,12.5%,0.0%,62.5%,64.3
Clint Capela,HOU,29,43,1.5,12.5%,1.28,55,1.9,25,0.9,35,1.2,71.4,71.4,11.6%,9.3%,9.3%,2.3%,65.1%,78.0
Nick Young,GSW,33,2,0.1,1.0%,2.00,4,0.1,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Kevin Durant,GSW,30,13,0.4,1.8%,1.15,15,0.5,7,0.2,11,0.4,63.6,63.6,7.7%,15.4%,7.7%,7.7%,53.8%,58.3
Ryan Anderson,HOU,31,28,0.9,9.3%,1.07,30,1.0,13,0.4,22,0.7,59.1,59.1,10.7%,10.7%,10.7%,0.0%,53.6%,43.3
Jaylen Brown,BOS,34,24,0.7,4.9%,0.79,19,0.6,6,0.2,18,0.5,33.3,33.3,20.8%,4.2%,20.8%,0.0%,41.7%,12.6
Derrick Rose,CLE,7,4,0.6,3.6%,1.00,4,0.6,2,0.3,2,0.3,100.0,100.0,0.0%,50.0%,0.0%,0.0%,50.0%,
Kyrie Irving,BOS,36,9,0.3,1.1%,1.33,12,0.3,6,0.2,9,0.3,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Dwyane Wade,CLE,32,11,0.3,2.7%,0.91,10,0.3,5,0.2,9,0.3,55.6,55.6,0.0%,18.2%,0.0%,0.0%,45.5%,21.5
Aron Baynes,BOS,38,42,1.1,16.3%,0.93,39,1.0,18,0.5,38,1.0,47.4,47.4,9.5%,2.4%,7.1%,2.4%,47.6%,24.9
Trevor Ariza,HOU,30,9,0.3,2.7%,1.11,10,0.3,4,0.1,7,0.2,57.1,57.1,11.1%,11.1%,0.0%,0.0%,55.6%,
Jayson Tatum,BOS,38,13,0.3,2.8%,0.92,12,0.3,4,0.1,8,0.2,50.0,50.0,23.1%,23.1%,23.1%,7.7%,46.2%,23.8
