Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Myles Turner,IND,28,162,5.8,40.9%,1.20,194,6.9,78,2.8,142,5.1,54.9,60.9,9.9%,5.6%,9.9%,3.1%,54.3%,67.5
Tobias Harris,DET,33,24,0.7,4.4%,1.04,25,0.8,10,0.3,23,0.7,43.5,50.0,4.2%,0.0%,4.2%,0.0%,45.8%,46.0
Quincy Acy,BKN,29,58,2.0,29.4%,0.88,51,1.8,13,0.4,47,1.6,27.7,41.5,12.1%,6.9%,12.1%,0.0%,34.5%,17.9
Dirk Nowitzki,DAL,36,104,2.9,25.9%,0.97,101,2.8,39,1.1,100,2.8,39.0,49.5,1.0%,2.9%,1.0%,0.0%,38.5%,31.1
Trevor Booker,PHI,8,5,0.6,8.8%,0.40,2,0.3,1,0.1,3,0.4,33.3,33.3,20.0%,20.0%,0.0%,0.0%,20.0%,
Thaddeus Young,IND,35,100,2.9,22.7%,0.88,88,2.5,38,1.1,89,2.5,42.7,48.3,2.0%,9.0%,2.0%,0.0%,40.0%,18.5
Domantas Sabonis,IND,33,161,4.9,40.5%,0.98,157,4.8,64,1.9,123,3.7,52.0,52.8,13.7%,13.7%,13.0%,3.7%,48.4%,32.5
Nikola Vucevic,ORL,34,149,4.4,25.2%,1.02,152,4.5,65,1.9,138,4.1,47.1,53.6,2.7%,4.7%,2.7%,0.7%,45.6%,41.1
Marc Gasol,MEM,35,205,5.9,28.2%,1.05,215,6.1,81,2.3,166,4.7,48.8,55.1,11.2%,11.2%,10.2%,3.4%,47.3%,49.7
Cody Zeller,CHA,19,30,1.6,21.6%,1.03,31,1.6,13,0.7,26,1.4,50.0,50.0,10.0%,6.7%,10.0%,3.3%,50.0%,43.0
Nerlens Noel,DAL,18,18,1.0,24.3%,1.22,22,1.2,9,0.5,15,0.8,60.0,60.0,11.1%,5.6%,5.6%,0.0%,61.1%,70.7
Greg Monroe,MIL,5,9,1.8,22.0%,0.89,8,1.6,4,0.8,7,1.4,57.1,57.1,11.1%,11.1%,11.1%,0.0%,44.4%,
