Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Dario Saric,PHI,26,121,4.7,35.8%,0.90,109,4.2,39,1.5,115,4.4,33.9,46.1,1.7%,3.3%,0.8%,0.0%,33.9%,35.0
Khris Middleton,MIL,25,96,3.8,20.0%,1.22,117,4.7,44,1.8,91,3.6,48.4,60.4,4.2%,2.1%,4.2%,1.0%,49.0%,87.9
Tyreke Evans,MEM,27,68,2.5,14.1%,0.96,65,2.4,23,0.9,63,2.3,36.5,46.8,5.9%,2.9%,7.4%,2.9%,36.8%,44.3
Jarell Martin,MEM,25,54,2.2,38.6%,0.76,41,1.6,15,0.6,46,1.8,32.6,40.2,3.7%,11.1%,3.7%,0.0%,31.5%,18.6
Dirk Nowitzki,DAL,28,87,3.1,29.0%,1.24,108,3.9,40,1.4,83,3.0,48.2,62.7,2.3%,2.3%,2.3%,0.0%,48.3%,90.4
Harrison Barnes,DAL,28,90,3.2,17.0%,0.99,89,3.2,31,1.1,81,2.9,38.3,49.4,5.6%,4.4%,4.4%,0.0%,40.0%,48.3
Wilson Chandler,DEN,23,61,2.7,25.6%,0.85,52,2.3,19,0.8,55,2.4,34.5,44.5,3.3%,8.2%,3.3%,1.6%,32.8%,28.2
Shabazz Muhammad,MIN,22,21,1.0,20.4%,0.52,11,0.5,4,0.2,21,1.0,19.0,26.2,0.0%,0.0%,0.0%,0.0%,19.0%,4.3
TJ Warren,PHX,29,77,2.7,13.9%,0.60,46,1.6,18,0.6,69,2.4,26.1,31.2,2.6%,9.1%,2.6%,1.3%,24.7%,6.2
DeMarre Carroll,BKN,24,106,4.4,32.7%,1.02,108,4.5,37,1.5,93,3.9,39.8,53.2,7.5%,7.5%,7.5%,2.8%,38.7%,55.4
DeMarcus Cousins,NOP,28,147,5.3,19.0%,0.86,127,4.5,42,1.5,127,4.5,33.1,45.3,6.8%,8.2%,8.2%,2.7%,32.7%,29.4
Stanley Johnson,DET,24,95,4.0,45.0%,0.73,69,2.9,25,1.0,88,3.7,28.4,38.6,2.1%,6.3%,2.1%,1.1%,26.3%,13.9
Nick Young,GSW,27,46,1.7,28.8%,1.09,50,1.9,13,0.5,38,1.4,34.2,50.0,15.2%,4.3%,15.2%,2.2%,41.3%,67.2
Jaylen Brown,BOS,27,111,4.1,27.9%,1.11,123,4.6,44,1.6,102,3.8,43.1,56.9,4.5%,4.5%,4.5%,0.9%,43.2%,72.4
Luc Mbah a Moute,HOU,23,78,3.4,45.6%,0.91,71,3.1,24,1.0,64,2.8,37.5,51.6,5.1%,14.1%,3.8%,1.3%,34.6%,36.5
PJ Tucker,HOU,25,83,3.3,50.0%,0.98,81,3.2,26,1.0,71,2.8,36.6,53.5,3.6%,10.8%,2.4%,0.0%,34.9%,46.7
Ryan Anderson,HOU,24,89,3.7,36.5%,1.22,109,4.5,38,1.6,80,3.3,47.5,66.9,3.4%,9.0%,3.4%,2.2%,43.8%,88.5
Patrick McCaw,GSW,23,25,1.1,30.1%,1.24,31,1.3,12,0.5,24,1.0,50.0,64.6,0.0%,4.0%,0.0%,0.0%,48.0%,90.1
Kyrie Irving,BOS,27,50,1.9,8.6%,1.20,60,2.2,22,0.8,46,1.7,47.8,60.9,4.0%,4.0%,4.0%,0.0%,48.0%,85.6
LeBron James,CLE,28,31,1.1,4.4%,1.23,38,1.4,13,0.5,27,1.0,48.1,64.8,6.5%,6.5%,6.5%,0.0%,48.4%,89.2
Draymond Green,GSW,25,72,2.9,24.7%,0.93,67,2.7,22,0.9,66,2.6,33.3,50.0,1.4%,6.9%,1.4%,0.0%,31.9%,39.9
Kevin Love,CLE,27,91,3.4,19.3%,1.16,106,3.9,31,1.1,81,3.0,38.3,54.3,9.9%,1.1%,8.8%,0.0%,44.0%,79.9
Trevor Ariza,HOU,23,93,4.0,39.7%,1.12,104,4.5,33,1.4,84,3.7,39.3,57.7,4.3%,6.5%,2.2%,1.1%,38.7%,74.9
James Harden,HOU,25,43,1.7,5.9%,1.02,44,1.8,14,0.6,38,1.5,36.8,51.3,4.7%,7.0%,4.7%,0.0%,37.2%,56.3
Aron Baynes,BOS,29,19,0.7,9.9%,0.74,14,0.5,7,0.2,18,0.6,38.9,38.9,0.0%,5.3%,0.0%,0.0%,36.8%,15.6
Al Horford,BOS,27,78,2.9,21.6%,1.33,104,3.9,37,1.4,72,2.7,51.4,69.4,2.6%,5.1%,2.6%,0.0%,50.0%,94.1
Zaza Pachulia,GSW,25,10,0.4,7.4%,0.70,7,0.3,3,0.1,8,0.3,37.5,37.5,10.0%,10.0%,10.0%,0.0%,40.0%,12.1
Jae Crowder,CLE,28,94,3.4,37.2%,1.01,95,3.4,30,1.1,83,3.0,36.1,49.4,7.4%,4.3%,7.4%,0.0%,38.3%,53.9
Dwyane Wade,CLE,26,22,0.8,6.5%,0.95,21,0.8,7,0.3,20,0.8,35.0,42.5,13.6%,0.0%,13.6%,4.5%,40.9%,44.0
Marcus Smart,BOS,27,76,2.8,21.2%,0.74,56,2.1,18,0.7,69,2.6,26.1,38.4,2.6%,6.6%,2.6%,0.0%,26.3%,15.6
Kevin Durant,GSW,23,73,3.2,13.3%,1.00,73,3.2,25,1.1,65,2.8,38.5,50.0,5.5%,6.8%,5.5%,1.4%,38.4%,51.0
Klay Thompson,GSW,28,54,1.9,10.6%,1.22,66,2.4,24,0.9,51,1.8,47.1,63.7,1.9%,3.7%,1.9%,0.0%,46.3%,88.2
Jeff Green,CLE,28,57,2.0,20.4%,1.11,63,2.3,21,0.8,48,1.7,43.8,56.3,7.0%,8.8%,7.0%,0.0%,43.9%,71.8
Eric Gordon,HOU,23,106,4.6,24.6%,1.11,118,5.1,38,1.7,93,4.0,40.9,55.9,8.5%,7.5%,8.5%,3.8%,40.6%,74.3
Derrick Rose,CLE,7,16,2.3,14.3%,0.38,6,0.9,3,0.4,14,2.0,21.4,21.4,0.0%,12.5%,0.0%,0.0%,18.8%,1.2
Jayson Tatum,BOS,29,121,4.2,35.1%,1.20,145,5.0,49,1.7,103,3.6,47.6,62.1,8.3%,8.3%,8.3%,1.7%,47.1%,84.2
