Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
DAngelo Russell,BKN,12,25,2.1,8.9%,0.84,21,1.8,9,0.8,21,1.8,42.9,45.2,12.0%,12.0%,12.0%,8.0%,40.0%,44.2
Cory Joseph,IND,35,22,0.6,7.6%,0.50,11,0.3,5,0.1,19,0.5,26.3,26.3,4.5%,9.1%,0.0%,0.0%,27.3%,5.3
Jeremy Lamb,CHA,33,41,1.2,8.6%,0.93,38,1.2,15,0.5,38,1.2,39.5,44.7,7.3%,2.4%,7.3%,2.4%,41.5%,60.0
Ish Smith,DET,33,37,1.1,11.0%,0.97,36,1.1,17,0.5,33,1.0,51.5,51.5,10.8%,8.1%,10.8%,8.1%,48.6%,65.8
Joel Embiid,PHI,25,40,1.6,6.5%,0.75,30,1.2,12,0.5,29,1.2,41.4,43.1,12.5%,17.5%,10.0%,2.5%,40.0%,26.1
Semi Ojeleye,BOS,35,2,0.1,1.9%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Jrue Holiday,NOP,34,72,2.1,11.6%,0.99,71,2.1,29,0.9,65,1.9,44.6,51.5,4.2%,6.9%,2.8%,1.4%,43.1%,67.4
E'Twaun Moore,NOP,34,14,0.4,3.5%,0.71,10,0.3,5,0.1,14,0.4,35.7,35.7,0.0%,0.0%,0.0%,0.0%,35.7%,20.1
Yogi Ferrell,DAL,36,29,0.8,7.9%,0.79,23,0.6,8,0.2,22,0.6,36.4,38.6,13.8%,10.3%,13.8%,0.0%,41.4%,33.0
Devin Harris,DAL,30,8,0.3,3.1%,1.13,9,0.3,2,0.1,5,0.2,40.0,40.0,25.0%,12.5%,25.0%,0.0%,50.0%,
Gary Harris,DEN,32,19,0.6,3.8%,0.53,10,0.3,3,0.1,18,0.6,16.7,19.4,10.5%,0.0%,10.5%,5.3%,21.1%,7.4
Will Barton,DEN,34,61,1.8,12.0%,0.56,34,1.0,11,0.3,47,1.4,23.4,23.4,13.1%,13.1%,13.1%,3.3%,27.9%,11.1
Donovan Mitchell,UTA,34,55,1.6,8.5%,0.96,53,1.6,20,0.6,45,1.3,44.4,50.0,10.9%,9.1%,9.1%,1.8%,43.6%,63.7
Skal Labissière,SAC,29,16,0.6,6.8%,0.94,15,0.5,6,0.2,13,0.4,46.2,46.2,18.8%,12.5%,12.5%,12.5%,43.8%,61.4
Jeff Teague,MIN,31,70,2.3,14.9%,1.01,71,2.3,24,0.8,56,1.8,42.9,53.6,10.0%,10.0%,8.6%,0.0%,44.3%,77.4
Patty Mills,SAS,35,11,0.3,3.2%,1.36,15,0.4,6,0.2,9,0.3,66.7,72.2,9.1%,9.1%,9.1%,0.0%,63.6%,98.9
Jusuf Nurkic,POR,30,12,0.4,2.3%,0.75,9,0.3,2,0.1,9,0.3,22.2,22.2,25.0%,8.3%,25.0%,8.3%,33.3%,26.1
TJ Warren,PHX,36,40,1.1,5.7%,0.90,36,1.0,15,0.4,30,0.8,50.0,50.0,12.5%,12.5%,12.5%,0.0%,50.0%,55.0
Ed Davis,POR,33,2,0.1,1.1%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Pat Connaughton,POR,33,6,0.2,3.2%,1.17,7,0.2,2,0.1,3,0.1,66.7,83.3,33.3%,33.3%,33.3%,16.7%,50.0%,
Anthony Davis,NOP,29,39,1.3,6.2%,1.28,50,1.7,19,0.7,32,1.1,59.4,59.4,17.9%,5.1%,17.9%,5.1%,61.5%,95.8
Marc Gasol,MEM,35,43,1.2,5.9%,0.72,31,0.9,13,0.4,36,1.0,36.1,36.1,7.0%,9.3%,7.0%,0.0%,37.2%,23.2
Taurean Prince,ATL,34,21,0.6,4.5%,0.48,10,0.3,5,0.1,17,0.5,29.4,29.4,0.0%,19.0%,0.0%,0.0%,23.8%,4.2
Willie Cauley-Stein,SAC,31,31,1.0,8.5%,0.87,27,0.9,9,0.3,22,0.7,40.9,40.9,22.6%,12.9%,22.6%,6.5%,45.2%,51.1
Jimmy Butler,MIN,33,82,2.5,12.4%,0.90,74,2.2,26,0.8,61,1.8,42.6,44.3,17.1%,11.0%,14.6%,2.4%,46.3%,55.8
Shabazz Napier,POR,27,24,0.9,11.1%,0.79,19,0.7,6,0.2,19,0.7,31.6,39.5,8.3%,12.5%,8.3%,0.0%,33.3%,32.1
Damian Lillard,POR,31,109,3.5,14.0%,1.04,113,3.6,33,1.1,85,2.7,38.8,44.7,19.3%,4.6%,17.4%,1.8%,47.7%,78.9
De Aaron Fox,SAC,29,28,1.0,7.6%,1.11,31,1.1,12,0.4,24,0.8,50.0,54.2,14.3%,7.1%,14.3%,7.1%,50.0%,88.4
Devin Booker,PHX,26,71,2.7,11.2%,0.89,63,2.4,23,0.9,60,2.3,38.3,42.5,9.9%,5.6%,8.5%,0.0%,42.3%,53.7
Josh Jackson,PHX,36,25,0.7,5.7%,0.72,18,0.5,7,0.2,18,0.5,38.9,38.9,12.0%,16.0%,12.0%,0.0%,40.0%,21.8
James Harden,HOU,32,286,8.9,30.2%,1.28,367,11.5,109,3.4,228,7.1,47.8,59.9,18.5%,4.5%,15.4%,3.1%,53.5%,96.3
Eric Gordon,HOU,30,56,1.9,10.0%,0.88,49,1.6,14,0.5,35,1.2,40.0,40.0,26.8%,17.9%,25.0%,7.1%,44.6%,52.1
LeBron James,CLE,35,227,6.5,25.3%,1.07,242,6.9,96,2.7,197,5.6,48.7,55.3,10.1%,7.5%,9.3%,4.4%,47.6%,82.1
Dwyane Wade,CLE,32,46,1.4,11.1%,0.85,39,1.2,17,0.5,42,1.3,40.5,40.5,8.7%,6.5%,8.7%,6.5%,39.1%,46.6
JR Smith,CLE,34,28,0.8,9.7%,1.00,28,0.8,11,0.3,27,0.8,40.7,51.9,0.0%,3.6%,0.0%,0.0%,39.3%,74.6
PJ Tucker,HOU,32,3,0.1,1.4%,0.67,2,0.1,0,0.0,2,0.1,0.0,0.0,33.3%,0.0%,33.3%,0.0%,33.3%,
Draymond Green,GSW,29,17,0.6,4.9%,1.06,18,0.6,8,0.3,16,0.6,50.0,50.0,11.8%,0.0%,11.8%,5.9%,52.9%,81.6
Marcus Smart,BOS,36,32,0.9,6.8%,0.75,24,0.7,9,0.3,24,0.7,37.5,41.7,9.4%,18.8%,9.4%,3.1%,34.4%,26.1
Terry Rozier III,BOS,38,39,1.0,10.7%,0.85,33,0.9,12,0.3,34,0.9,35.3,39.7,10.3%,7.7%,7.7%,5.1%,35.9%,45.2
Derrick Rose,CLE,7,6,0.9,5.4%,1.00,6,0.9,3,0.4,4,0.6,75.0,75.0,0.0%,33.3%,0.0%,0.0%,50.0%,
Chris Paul,HOU,16,56,3.5,22.0%,1.27,71,4.4,22,1.4,48,3.0,45.8,60.4,12.5%,5.4%,10.7%,3.6%,48.2%,94.7
Stephen Curry,GSW,23,32,1.4,6.0%,0.97,31,1.3,12,0.5,25,1.1,48.0,54.0,9.4%,12.5%,6.3%,0.0%,46.9%,65.3
Al Horford,BOS,35,12,0.3,2.6%,0.92,11,0.3,4,0.1,10,0.3,40.0,40.0,16.7%,0.0%,8.3%,0.0%,50.0%,58.2
Jayson Tatum,BOS,38,46,1.2,9.9%,0.85,39,1.0,15,0.4,40,1.1,37.5,38.8,8.7%,4.3%,8.7%,0.0%,41.3%,46.6
Kevin Love,CLE,34,19,0.6,3.1%,0.79,15,0.4,6,0.2,16,0.5,37.5,37.5,10.5%,10.5%,5.3%,5.3%,36.8%,31.2
Klay Thompson,GSW,35,26,0.7,4.0%,0.77,20,0.6,8,0.2,20,0.6,40.0,45.0,3.8%,19.2%,3.8%,0.0%,34.6%,28.0
Kyrie Irving,BOS,36,118,3.3,14.7%,1.00,118,3.3,44,1.2,105,2.9,41.9,47.6,9.3%,4.2%,9.3%,2.5%,44.1%,74.6
Kevin Durant,GSW,30,109,3.6,15.0%,0.98,107,3.6,40,1.3,90,3.0,44.4,48.3,11.0%,9.2%,11.0%,2.8%,44.0%,66.3
