TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"
DET

",04/05/2011,DET @ WAS,L,241,105,43,98,43.9,5,17,29.4,14,20,70.0,20,27,47,18,10,3,16,22,-2
"
DET

",04/03/2011,DET @ BOS,L,239,90,34,80,42.5,8,21,38.1,14,17,82.4,8,18,26,17,16,0,9,13,-11
"
DET

",04/01/2011,DET vs. CHI,L,241,96,39,75,52.0,3,9,33.3,15,21,71.4,10,27,37,21,9,3,20,20,-5
"
DET

",03/30/2011,DET @ IND,L,240,101,42,83,50.6,1,8,12.5,16,20,80.0,14,28,42,20,11,4,18,22,-10
"
DET

",03/26/2011,DET vs. IND,W,240,100,39,76,51.3,8,14,57.1,14,21,66.7,10,29,39,23,10,3,17,20,12
"
DET

",03/25/2011,DET @ CLE,L,241,91,37,87,42.5,4,13,30.8,13,20,65.0,14,25,39,19,8,8,12,19,-6
"
DET

",03/23/2011,DET vs. MIA,L,241,94,35,71,49.3,4,13,30.8,20,26,76.9,8,29,37,28,6,1,12,26,-6
"
DET

",03/20/2011,DET @ ATL,L,239,96,39,78,50.0,5,15,33.3,13,17,76.5,9,25,34,23,5,3,11,21,-8
"
DET

",03/18/2011,DET vs. NYK,W,240,99,40,84,47.6,5,13,38.5,14,21,66.7,12,26,38,26,14,5,10,17,4
"
DET

",03/16/2011,DET vs. TOR,W,240,107,42,81,51.9,8,21,38.1,15,23,65.2,11,31,42,33,6,6,9,14,14
"
DET

",03/12/2011,DET @ DEN,L,242,101,44,88,50.0,6,16,37.5,7,7,100.0,8,25,33,24,7,1,12,20,-30
"
DET

",03/11/2011,DET @ OKC,L,240,94,38,78,48.7,6,12,50.0,12,17,70.6,13,25,38,24,4,2,15,19,-10
"
DET

",03/09/2011,DET @ SAS,L,240,104,42,93,45.2,6,13,46.2,14,20,70.0,20,19,39,22,7,1,12,23,-7
"
DET

",03/06/2011,DET vs. WAS,W,241,113,47,91,51.6,7,18,38.9,12,14,85.7,11,34,45,29,2,7,9,25,11
"
DET

",03/02/2011,DET vs. MIN,L,240,105,39,89,43.8,5,25,20.0,22,31,71.0,14,24,38,29,10,5,10,24,-11
"
DET

",03/01/2011,DET @ MIL,L,240,90,36,89,40.4,4,16,25.0,14,20,70.0,17,29,46,18,7,4,14,21,-2
