TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"
DET

",10/21/2017,DET @ NYK,W,239,111,44,91,48.4,9,30,30.0,14,15,93.3,15,28,43,21,5,2,12,25,2
"
DET

",10/20/2017,DET @ WAS,L,240,111,43,87,49.4,10,23,43.5,15,20,75.0,10,23,33,19,12,1,19,32,-4
"
DET

",10/18/2017,DET vs. CHA,W,239,102,41,96,42.7,9,26,34.6,11,12,91.7,9,38,47,24,14,3,8,21,12
"
DET

",10/13/2017,DET @ MIL,L,240,103,38,91,41.8,9,23,39.1,18,25,72.0,19,31,50,24,6,2,15,16,-4
"
DET

",10/10/2017,DET @ TOR,L,238,94,37,84,44.0,5,17,29.4,15,17,88.2,7,27,34,19,8,3,13,21,-22
"
DET

",10/09/2017,DET vs. IND,W,240,107,43,87,49.4,10,26,38.5,11,17,64.7,10,27,37,28,8,3,7,14,10
"
DET

",10/06/2017,DET vs. ATL,W,240,109,45,92,48.9,11,25,44.0,8,11,72.7,14,43,57,26,6,3,12,15,22
"
DET

",10/04/2017,DET vs. CHA,L,240,104,39,83,47.0,8,28,28.6,18,26,69.2,7,41,48,21,7,4,19,27,-5
"
DET

",04/12/2017,DET @ ORL,L,241,109,41,106,38.7,11,36,30.6,16,28,57.1,17,36,53,20,6,3,8,15,-4
"
DET

",04/10/2017,DET vs. WAS,L,240,101,43,94,45.7,10,26,38.5,5,5,100.0,6,30,36,22,9,2,10,18,-4
"
DET

",04/09/2017,DET @ MEM,W,240,103,39,82,47.6,14,28,50.0,11,16,68.8,15,31,46,21,8,2,18,12,13
"
DET

",04/07/2017,DET @ HOU,W,240,114,46,108,42.6,9,26,34.6,13,16,81.3,18,37,55,27,5,1,6,17,5
"
DET

",04/05/2017,DET vs. TOR,L,240,102,42,81,51.9,7,21,33.3,11,18,61.1,12,33,45,22,5,4,14,21,-3
"
DET

",03/31/2017,DET @ MIL,L,264,105,44,97,45.4,7,30,23.3,10,16,62.5,13,41,54,25,8,4,12,27,-3
"
DET

",03/30/2017,DET vs. BKN,W,241,90,36,86,41.9,7,18,38.9,11,17,64.7,11,42,53,20,6,7,16,11,1
"
DET

",03/28/2017,DET vs. MIA,L,241,96,36,85,42.4,8,27,29.6,16,21,76.2,16,35,51,20,7,5,12,23,-1
"
DET

",03/27/2017,DET @ NYK,L,240,95,36,84,42.9,9,23,39.1,14,21,66.7,12,30,42,18,4,3,18,16,-14
"
DET

",03/24/2017,DET @ ORL,L,241,87,34,96,35.4,2,22,9.1,17,20,85.0,12,38,50,21,3,3,8,17,-28
"
DET

",03/22/2017,DET @ CHI,L,240,95,39,88,44.3,7,20,35.0,10,17,58.8,16,28,44,18,6,1,15,17,-22
"
DET

",03/21/2017,DET @ BKN,L,240,96,40,92,43.5,5,23,21.7,11,16,68.8,10,41,51,17,8,8,6,17,-2
"
DET

",03/19/2017,DET vs. PHX,W,240,112,40,92,43.5,12,25,48.0,20,30,66.7,12,51,63,26,2,4,12,21,17
"
DET

",03/17/2017,DET vs. TOR,L,240,75,29,83,34.9,3,20,15.0,14,21,66.7,12,37,49,14,5,5,12,17,-12
"
DET

",03/15/2017,DET vs. UTA,L,239,83,36,86,41.9,3,13,23.1,8,12,66.7,8,31,39,14,6,4,7,18,-14
"
DET

",03/14/2017,DET @ CLE,L,240,96,37,99,37.4,4,19,21.1,18,19,94.7,16,29,45,20,6,1,8,19,-32
"
DET

",03/11/2017,DET vs. NYK,W,241,112,46,96,47.9,9,27,33.3,11,19,57.9,14,37,51,27,14,6,7,15,20
"
DET

",03/09/2017,DET vs. CLE,W,240,106,41,88,46.6,9,26,34.6,15,19,78.9,11,34,45,22,6,1,7,15,5
"
DET

",03/08/2017,DET @ IND,L,240,98,39,89,43.8,7,26,26.9,13,22,59.1,11,34,45,20,4,4,10,18,-17
"
DET

",03/06/2017,DET vs. CHI,W,240,109,45,92,48.9,6,21,28.6,13,20,65.0,10,38,48,26,7,3,6,19,14
"
DET

",03/04/2017,DET @ PHI,W,240,136,54,95,56.8,10,23,43.5,18,21,85.7,10,34,44,26,11,10,7,9,30
"
DET

",03/01/2017,DET @ NOP,L,239,86,40,103,38.8,3,23,13.0,3,17,17.6,23,27,50,13,11,3,7,17,-23
"
DET

",02/28/2017,DET vs. POR,W,266,120,45,104,43.3,7,25,28.0,23,31,74.2,16,32,48,23,13,2,7,19,7
"
DET

",02/26/2017,DET vs. BOS,L,240,98,35,81,43.2,12,33,36.4,16,35,45.7,11,34,45,22,8,4,17,24,-6
"
DET

",02/23/2017,DET vs. CHA,W,266,114,44,107,41.1,15,37,40.5,11,12,91.7,10,47,57,29,5,2,8,17,6
"
DET

",02/15/2017,DET vs. DAL,W,366,98,36,82,43.9,6,19,31.6,20,22,90.9,9,46,55,15,2,4,15,16,7
"
DET

",02/13/2017,DET @ MIL,L,240,89,34,78,43.6,7,21,33.3,14,19,73.7,12,32,44,17,4,1,17,18,-13
"
DET

",02/12/2017,DET @ TOR,W,241,102,36,84,42.9,8,31,25.8,22,29,75.9,11,30,41,12,8,5,7,18,1
"
DET

",02/10/2017,DET vs. SAS,L,240,92,39,92,42.4,5,17,29.4,9,13,69.2,7,28,35,22,8,3,10,15,-11
"
DET

",02/08/2017,DET vs. LAL,W,239,121,51,97,52.6,4,16,25.0,15,24,62.5,14,38,52,32,11,6,14,14,19
"
DET

",02/06/2017,DET vs. PHI,W,241,113,46,99,46.5,5,22,22.7,16,17,94.1,19,41,60,22,8,4,12,19,17
"
DET

",02/04/2017,DET @ IND,L,240,84,31,75,41.3,6,17,35.3,16,20,80.0,8,35,43,18,2,6,21,13,-21
"
DET

",02/03/2017,DET vs. MIN,W,241,116,44,98,44.9,11,26,42.3,17,22,77.3,18,31,49,24,7,4,10,14,8
"
DET

",02/01/2017,DET vs. NOP,W,241,118,48,88,54.5,10,26,38.5,12,17,70.6,5,37,42,28,9,0,10,13,20
"
DET

",01/30/2017,DET @ BOS,L,240,109,43,97,44.3,3,27,11.1,20,29,69.0,12,39,51,18,6,7,7,23,-4
"
DET

",01/28/2017,DET @ MIA,L,240,103,46,89,51.7,4,12,33.3,7,12,58.3,13,29,42,11,6,3,12,16,-13
"
DET

",01/23/2017,DET vs. SAC,L,241,104,41,82,50.0,10,28,35.7,12,17,70.6,6,32,38,27,8,1,15,21,-5
"
DET

",01/21/2017,DET vs. WAS,W,241,113,43,87,49.4,11,28,39.3,16,22,72.7,13,36,49,25,9,4,20,27,1
"
DET

",01/18/2017,DET vs. ATL,W,239,118,45,91,49.5,10,25,40.0,18,28,64.3,18,42,60,27,6,0,12,29,23
"
DET

",01/15/2017,DET @ LAL,W,240,102,41,95,43.2,9,25,36.0,11,16,68.8,10,36,46,24,6,6,7,22,5
"
DET

",01/13/2017,DET @ UTA,L,240,77,30,76,39.5,6,17,35.3,11,16,68.8,3,32,35,15,5,4,13,16,-33
"
DET

",01/12/2017,DET @ GSW,L,241,107,43,88,48.9,6,28,21.4,15,20,75.0,9,31,40,20,10,4,19,19,-20
"
DET

",01/10/2017,DET @ SAC,L,240,94,36,82,43.9,12,27,44.4,10,16,62.5,8,27,35,14,12,9,12,24,-6
"
DET

",01/08/2017,DET @ POR,W,289,125,54,105,51.4,8,25,32.0,9,12,75.0,6,35,41,19,14,3,9,16,1
"
DET

",01/05/2017,DET vs. CHA,W,240,115,39,97,40.2,10,28,35.7,27,32,84.4,16,40,56,24,2,6,7,23,1
"
DET

",01/03/2017,DET vs. IND,L,240,116,48,97,49.5,10,29,34.5,10,12,83.3,16,26,42,31,5,5,10,19,-5
"
DET

",01/01/2017,DET @ MIA,W,240,107,42,86,48.8,9,22,40.9,14,22,63.6,10,38,48,16,7,5,12,18,9
"
DET

",12/30/2016,DET @ ATL,L,240,98,35,84,41.7,9,31,29.0,19,21,90.5,14,29,43,22,9,7,18,24,-7
"
DET

",12/28/2016,DET vs. MIL,L,240,94,39,88,44.3,6,24,25.0,10,16,62.5,11,33,44,28,4,1,10,12,-25
"
DET

",12/26/2016,DET vs. CLE,W,238,106,41,92,44.6,16,28,57.1,8,15,53.3,10,35,45,25,12,4,12,19,16
"
DET

",12/23/2016,DET vs. GSW,L,239,113,43,85,50.6,10,29,34.5,17,28,60.7,5,31,36,22,12,3,13,22,-6
"
DET

",12/21/2016,DET vs. MEM,L,240,86,26,72,36.1,6,23,26.1,28,37,75.7,10,36,46,17,2,3,17,18,-12
"
DET

",12/19/2016,DET @ CHI,L,240,82,34,83,41.0,3,23,13.0,11,13,84.6,10,22,32,19,8,3,11,8,-31
"
DET

",12/17/2016,DET vs. IND,L,239,90,32,84,38.1,10,30,33.3,16,22,72.7,10,30,40,22,6,1,8,18,-15
"
DET

",12/16/2016,DET @ WAS,L,240,108,42,86,48.8,10,28,35.7,14,21,66.7,10,30,40,22,3,1,9,19,-14
"
DET

",12/14/2016,DET @ DAL,W,241,95,36,71,50.7,5,17,29.4,18,22,81.8,10,40,50,18,4,2,19,19,10
"
DET

",12/11/2016,DET vs. PHI,L,239,79,32,82,39.0,5,19,26.3,10,14,71.4,10,24,34,15,15,2,15,18,-18
"
DET

",12/09/2016,DET @ MIN,W,240,117,42,84,50.0,14,29,48.3,19,23,82.6,11,31,42,23,6,1,7,23,27
"
DET

",12/07/2016,DET @ CHA,L,240,77,34,89,38.2,4,27,14.8,5,8,62.5,7,50,57,21,3,8,12,18,-10
"
DET

",12/06/2016,DET vs. CHI,W,239,102,40,88,45.5,8,21,38.1,14,21,66.7,9,35,44,24,10,5,9,23,11
"
DET

",12/04/2016,DET vs. ORL,L,240,92,38,86,44.2,10,27,37.0,6,13,46.2,10,34,44,16,8,3,12,12,-6
"
DET

",12/02/2016,DET @ ATL,W,241,121,48,89,53.9,17,29,58.6,8,12,66.7,11,43,54,28,4,3,15,15,36
"
DET

",11/30/2016,DET @ BOS,W,240,121,48,87,55.2,9,20,45.0,16,21,76.2,13,39,52,28,4,8,11,19,7
"
DET

",11/29/2016,DET @ CHA,W,240,112,45,92,48.9,12,28,42.9,10,11,90.9,9,35,44,21,7,4,11,19,23
"
DET

",11/26/2016,DET @ OKC,L,240,88,37,82,45.1,1,19,5.3,13,17,76.5,6,26,32,11,7,1,8,20,-18
"
DET

",11/25/2016,DET vs. LAC,W,239,108,47,90,52.2,9,19,47.4,5,7,71.4,9,33,42,26,7,0,10,22,11
"
DET

",11/23/2016,DET vs. MIA,W,238,107,40,81,49.4,6,19,31.6,21,25,84.0,10,39,49,22,8,7,13,19,23
"
DET

",11/21/2016,DET vs. HOU,L,239,96,36,87,41.4,7,17,41.2,17,24,70.8,12,27,39,19,7,3,14,20,-3
"
DET

",11/19/2016,DET vs. BOS,L,240,92,37,86,43.0,7,20,35.0,11,16,68.8,11,39,50,22,5,4,5,13,-2
"
DET

",11/18/2016,DET @ CLE,L,239,81,29,93,31.2,6,19,31.6,17,20,85.0,11,33,44,23,5,4,7,15,-23
"
DET

",11/16/2016,DET @ NYK,L,240,102,42,85,49.4,8,23,34.8,10,12,83.3,8,32,40,19,6,1,10,14,-3
"
DET

",11/14/2016,DET vs. OKC,W,240,104,43,92,46.7,5,16,31.3,13,16,81.3,4,43,47,25,4,9,9,14,16
"
DET

",11/12/2016,DET @ DEN,W,239,106,46,90,51.1,4,18,22.2,10,14,71.4,11,26,37,23,11,1,9,16,11
"
DET

",11/11/2016,DET @ SAS,L,241,86,32,76,42.1,5,25,20.0,17,21,81.0,9,33,42,14,2,4,11,14,-10
"
DET

",11/09/2016,DET @ PHX,L,240,100,32,89,36.0,9,22,40.9,27,32,84.4,9,32,41,20,11,5,11,24,-7
"
DET

",11/07/2016,DET @ LAC,L,241,82,30,82,36.6,4,12,33.3,18,26,69.2,11,28,39,14,5,2,11,19,-32
"
DET

",11/05/2016,DET vs. DEN,W,239,103,40,84,47.6,7,20,35.0,16,22,72.7,9,38,47,22,9,9,13,16,17
"
DET

",11/02/2016,DET @ BKN,L,241,101,37,88,42.0,9,25,36.0,18,21,85.7,10,28,38,21,11,6,13,18,-8
"
DET

",11/01/2016,DET vs. NYK,W,241,102,41,89,46.1,8,13,61.5,12,21,57.1,10,38,48,19,7,5,10,16,13
"
DET

",10/30/2016,DET vs. MIL,W,240,98,39,88,44.3,5,20,25.0,15,20,75.0,16,42,58,23,8,4,15,14,15
"
DET

",10/28/2016,DET vs. ORL,W,239,108,48,95,50.5,7,19,36.8,5,6,83.3,9,44,53,27,8,4,12,11,26
"
DET

",10/26/2016,DET @ TOR,L,240,91,35,84,41.7,4,22,18.2,17,22,77.3,8,32,40,17,8,0,13,24,-18
"
DET

",10/19/2016,DET vs. TOR,L,239,92,35,77,45.5,5,23,21.7,17,20,85.0,4,33,37,20,3,5,13,20,-11
"
DET

",10/17/2016,DET vs. MIL,W,240,102,37,76,48.7,13,27,48.1,15,18,83.3,9,40,49,23,8,3,14,17,24
"
DET

",10/15/2016,DET @ PHI,W,241,97,36,77,46.8,9,21,42.9,16,26,61.5,12,32,44,21,14,2,16,22,21
"
DET

",10/13/2016,DET @ ATL,W,240,99,34,80,42.5,4,16,25.0,27,33,81.8,11,34,45,22,7,4,19,20,5
"
DET

",10/10/2016,DET vs. SAS,L,241,81,35,86,40.7,4,20,20.0,7,13,53.8,8,32,40,20,10,3,14,17,-5
"
DET

",10/06/2016,DET @ BKN,L,239,94,39,89,43.8,5,22,22.7,11,15,73.3,17,35,52,21,7,3,23,21,-7
"
DET

",04/24/2016,DET vs. CLE,L,240,98,37,76,48.7,10,24,41.7,14,21,66.7,7,35,42,22,3,4,9,18,-2
"
DET

",04/22/2016,DET vs. CLE,L,240,91,36,74,48.6,6,23,26.1,13,19,68.4,5,27,32,22,7,3,7,19,-10
"
DET

",04/20/2016,DET @ CLE,L,240,90,34,78,43.6,4,17,23.5,18,32,56.3,11,29,40,19,7,4,12,18,-17
"
DET

",04/17/2016,DET @ CLE,L,240,101,37,73,50.7,15,29,51.7,12,16,75.0,5,32,37,24,4,2,10,21,-5
"
DET

",04/13/2016,DET @ CLE,W,266,112,37,85,43.5,16,33,48.5,22,28,78.6,9,38,47,24,5,11,12,15,2
"
DET

",04/12/2016,DET vs. MIA,L,240,93,34,84,40.5,5,18,27.8,20,30,66.7,18,30,48,15,9,4,15,17,-6
"
DET

",04/08/2016,DET vs. WAS,W,239,112,36,77,46.8,14,32,43.8,26,29,89.7,7,37,44,17,5,2,12,18,13
"
DET

",04/06/2016,DET @ ORL,W,240,108,39,86,45.3,11,27,40.7,19,31,61.3,12,32,44,24,9,6,12,16,4
"
DET

",04/05/2016,DET @ MIA,L,239,89,32,80,40.0,5,22,22.7,20,25,80.0,12,31,43,14,7,1,13,14,-18
"
DET

",04/02/2016,DET @ CHI,W,239,94,32,76,42.1,10,20,50.0,20,34,58.8,7,38,45,17,8,2,10,16,4
"
DET

",04/01/2016,DET vs. DAL,L,240,89,31,81,38.3,13,33,39.4,14,24,58.3,12,35,47,23,4,4,11,17,-9
"
DET

",03/29/2016,DET vs. OKC,W,241,88,33,87,37.9,4,19,21.1,18,20,90.0,16,37,53,20,6,4,16,18,6
"
DET

",03/26/2016,DET vs. ATL,L,241,95,34,88,38.6,7,29,24.1,20,28,71.4,14,39,53,25,2,4,11,14,-17
"
DET

",03/25/2016,DET vs. CHA,W,240,112,42,91,46.2,8,30,26.7,20,26,76.9,15,47,62,22,4,6,14,22,7
"
DET

",03/23/2016,DET vs. ORL,W,240,118,43,80,53.8,11,24,45.8,21,25,84.0,9,36,45,30,4,5,15,15,16
"
DET

",03/21/2016,DET vs. MIL,W,240,92,35,85,41.2,9,33,27.3,13,17,76.5,10,29,39,18,6,3,12,14,1
"
DET

",03/19/2016,DET vs. BKN,W,240,115,46,94,48.9,10,24,41.7,13,21,61.9,15,30,45,30,5,4,6,17,12
"
DET

",03/18/2016,DET vs. SAC,W,240,115,44,92,47.8,12,26,46.2,15,18,83.3,16,33,49,25,7,6,15,22,7
"
DET

",03/16/2016,DET vs. ATL,L,240,114,39,84,46.4,8,25,32.0,28,39,71.8,9,39,48,23,3,4,13,25,-4
"
DET

",03/14/2016,DET @ WAS,L,241,81,32,79,40.5,3,23,13.0,14,22,63.6,11,28,39,17,5,4,20,21,-43
"
DET

",03/12/2016,DET @ PHI,W,241,125,49,91,53.8,9,18,50.0,18,22,81.8,12,40,52,26,6,3,13,20,14
"
DET

",03/11/2016,DET @ CHA,L,239,103,36,76,47.4,9,30,30.0,22,27,81.5,3,30,33,19,7,4,12,21,-15
"
DET

",03/09/2016,DET @ DAL,W,240,102,38,85,44.7,9,27,33.3,17,30,56.7,15,36,51,19,7,3,11,14,6
"
DET

",03/06/2016,DET vs. POR,W,240,123,44,84,52.4,12,22,54.5,23,28,82.1,10,35,45,22,7,1,12,23,20
"
DET

",03/05/2016,DET @ NYK,L,240,89,36,92,39.1,6,26,23.1,11,15,73.3,14,28,42,13,6,1,9,21,-13
"
DET

",03/02/2016,DET @ SAS,L,240,81,31,78,39.7,6,19,31.6,13,23,56.5,7,35,42,19,3,1,15,13,-16
"
DET

",02/28/2016,DET vs. TOR,W,240,114,41,71,57.7,12,23,52.2,20,27,74.1,7,31,38,28,2,1,10,20,13
"
DET

",02/27/2016,DET @ MIL,W,240,102,37,88,42.0,12,30,40.0,16,24,66.7,17,29,46,24,13,2,10,18,11
"
DET

",02/24/2016,DET vs. PHI,W,240,111,39,83,47.0,11,28,39.3,22,34,64.7,10,40,50,22,10,1,16,19,20
"
DET

",02/22/2016,DET @ CLE,W,241,96,37,80,46.3,8,25,32.0,14,21,66.7,6,37,43,17,10,3,13,15,8
"
DET

",02/21/2016,DET vs. NOP,L,240,106,37,89,41.6,12,33,36.4,20,32,62.5,11,30,41,18,9,6,11,25,-5
"
DET

",02/19/2016,DET @ WAS,L,238,86,35,82,42.7,7,23,30.4,9,17,52.9,6,35,41,13,2,3,12,20,-12
"
DET

",02/10/2016,DET vs. DEN,L,240,92,38,88,43.2,10,27,37.0,6,7,85.7,7,35,42,21,5,8,14,19,-11
"
DET

",02/08/2016,DET vs. TOR,L,240,89,36,80,45.0,8,28,28.6,9,17,52.9,11,28,39,22,7,2,16,18,-14
"
DET

",02/06/2016,DET @ IND,L,240,104,38,79,48.1,12,33,36.4,16,31,51.6,11,27,38,14,7,3,14,26,-8
"
DET

",02/04/2016,DET vs. NYK,W,240,111,40,79,50.6,9,17,52.9,22,33,66.7,4,38,42,17,7,3,13,22,6
"
DET

",02/03/2016,DET @ BOS,L,239,95,32,85,37.6,11,34,32.4,20,28,71.4,9,39,48,18,3,5,16,18,-7
"
DET

",02/01/2016,DET @ BKN,W,240,105,42,98,42.9,10,30,33.3,11,16,68.8,19,30,49,18,5,4,9,15,5
"
DET

",01/30/2016,DET @ TOR,L,239,107,39,87,44.8,9,29,31.0,20,34,58.8,10,29,39,9,10,6,11,29,-4
"
DET

",01/29/2016,DET vs. CLE,L,239,106,40,84,47.6,7,23,30.4,19,26,73.1,9,30,39,20,5,4,9,24,-8
"
DET

",01/27/2016,DET vs. PHI,W,241,110,39,91,42.9,5,21,23.8,27,38,71.1,21,30,51,15,9,2,10,19,13
"
DET

",01/25/2016,DET @ UTA,W,240,95,34,75,45.3,11,22,50.0,16,33,48.5,7,35,42,19,7,1,10,18,3
"
DET

",01/23/2016,DET @ DEN,L,240,101,40,84,47.6,11,29,37.9,10,19,52.6,11,40,51,23,4,5,16,22,-3
"
DET

",01/21/2016,DET @ NOP,L,240,99,38,91,41.8,7,30,23.3,16,20,80.0,18,26,44,17,5,2,15,14,-16
"
DET

",01/20/2016,DET @ HOU,W,239,123,38,80,47.5,12,30,40.0,35,59,59.3,14,38,52,23,8,7,10,17,9
"
DET

",01/18/2016,DET vs. CHI,L,240,101,42,95,44.2,5,26,19.2,12,20,60.0,20,30,50,18,8,2,11,16,-10
"
DET

",01/16/2016,DET vs. GSW,W,240,113,47,101,46.5,8,23,34.8,11,20,55.0,17,40,57,22,8,11,9,22,18
"
DET

",01/14/2016,DET @ MEM,L,240,101,37,72,51.4,15,32,46.9,12,17,70.6,8,27,35,18,3,2,20,21,-2
"
DET

",01/12/2016,DET vs. SAS,L,240,99,38,91,41.8,6,23,26.1,17,26,65.4,11,30,41,22,8,2,12,24,-10
"
DET

",01/09/2016,DET vs. BKN,W,240,103,43,92,46.7,8,27,29.6,9,14,64.3,11,36,47,23,10,5,9,12,14
"
DET

",01/06/2016,DET @ BOS,W,239,99,33,74,44.6,10,27,37.0,23,36,63.9,11,36,47,18,4,5,18,27,5
"
DET

",01/04/2016,DET vs. ORL,W,242,115,43,88,48.9,14,30,46.7,15,21,71.4,18,36,54,25,6,6,10,18,26
"
DET

",01/02/2016,DET @ IND,L,240,82,33,93,35.5,3,20,15.0,13,23,56.5,12,36,48,17,5,2,10,18,-12
"
DET

",12/31/2015,DET vs. MIN,W,240,115,41,86,47.7,14,35,40.0,19,28,67.9,12,40,52,24,7,3,16,16,25
"
DET

",12/29/2015,DET @ NYK,L,240,96,37,89,41.6,10,27,37.0,12,17,70.6,15,24,39,21,6,4,10,14,-12
"
DET

",12/26/2015,DET vs. BOS,L,240,93,35,91,38.5,6,25,24.0,17,25,68.0,18,33,51,16,11,2,15,24,-6
"
DET

",12/23/2015,DET @ ATL,L,241,100,38,89,42.7,7,21,33.3,17,33,51.5,13,33,46,18,7,9,14,20,-7
"
DET

",12/22/2015,DET @ MIA,W,240,93,35,78,44.9,15,30,50.0,8,14,57.1,12,31,43,16,3,3,16,11,1
"
DET

",12/18/2015,DET @ CHI,W,340,147,56,124,45.2,8,29,27.6,27,46,58.7,19,45,64,28,7,4,11,35,3
"
DET

",12/16/2015,DET vs. BOS,W,241,119,38,78,48.7,11,21,52.4,32,43,74.4,7,29,36,13,5,4,11,22,3
"
DET

",12/14/2015,DET vs. LAC,L,265,103,37,89,41.6,6,19,31.6,23,31,74.2,15,39,54,17,8,0,18,21,-2
"
DET

",12/12/2015,DET vs. IND,W,238,118,45,90,50.0,13,29,44.8,15,19,78.9,10,36,46,26,11,6,14,18,22
"
DET

",12/11/2015,DET @ PHI,W,240,107,43,93,46.2,10,27,37.0,11,16,68.8,17,31,48,18,9,9,14,21,12
"
DET

",12/09/2015,DET vs. MEM,L,240,92,37,87,42.5,8,29,27.6,10,15,66.7,13,30,43,17,9,6,12,16,-1
"
DET

",12/07/2015,DET @ CHA,L,241,84,32,87,36.8,10,34,29.4,10,22,45.5,7,34,41,17,11,2,12,20,-20
"
DET

",12/06/2015,DET vs. LAL,W,240,111,41,93,44.1,9,24,37.5,20,26,76.9,17,44,61,20,11,1,16,21,22
"
DET

",12/04/2015,DET vs. MIL,W,239,102,34,82,41.5,7,23,30.4,27,39,69.2,8,38,46,18,8,4,9,11,7
"
DET

",12/02/2015,DET vs. PHX,W,265,127,44,87,50.6,12,27,44.4,27,44,61.4,13,37,50,24,10,1,18,20,5
"
DET

",11/30/2015,DET vs. HOU,W,242,116,45,85,52.9,8,23,34.8,18,37,48.6,14,32,46,22,8,8,11,19,11
"
DET

",11/29/2015,DET @ BKN,L,240,83,34,101,33.7,6,24,25.0,9,21,42.9,19,32,51,19,11,1,14,15,-4
"
DET

",11/27/2015,DET @ OKC,L,240,87,31,90,34.4,9,29,31.0,16,20,80.0,13,25,38,17,9,1,8,21,-16
"
DET

",11/25/2015,DET vs. MIA,W,241,104,41,98,41.8,16,31,51.6,6,7,85.7,18,36,54,24,6,7,7,16,23
"
DET

",11/23/2015,DET @ MIL,L,241,88,31,91,34.1,6,28,21.4,20,24,83.3,22,26,48,19,7,3,17,18,-21
"
DET

",11/21/2015,DET vs. WAS,L,240,95,36,79,45.6,8,26,30.8,15,21,71.4,8,30,38,20,3,2,13,17,-2
"
DET

",11/20/2015,DET @ MIN,W,239,96,40,87,46.0,6,28,21.4,10,13,76.9,8,37,45,13,11,5,14,23,10
"
DET

",11/17/2015,DET vs. CLE,W,239,104,36,84,42.9,7,21,33.3,25,31,80.6,11,37,48,20,11,1,13,15,5
"
DET

",11/15/2015,DET @ LAL,L,240,85,35,96,36.5,7,27,25.9,8,15,53.3,12,34,46,16,7,2,10,25,-12
"
DET

",11/14/2015,DET @ LAC,L,239,96,33,74,44.6,7,27,25.9,23,35,65.7,11,31,42,15,8,2,15,23,-5
"
DET

",11/11/2015,DET @ SAC,L,240,92,34,89,38.2,9,32,28.1,15,20,75.0,14,31,45,16,10,3,16,20,-9
"
DET

",11/09/2015,DET @ GSW,L,240,95,40,85,47.1,6,19,31.6,9,15,60.0,12,29,41,15,9,3,20,14,-14
"
DET

",11/08/2015,DET @ POR,W,240,120,47,96,49.0,11,30,36.7,15,22,68.2,18,28,46,16,13,5,9,16,17
"
DET

",11/06/2015,DET @ PHX,W,239,100,37,74,50.0,8,22,36.4,18,36,50.0,6,41,47,15,8,3,15,21,8
"
DET

",11/03/2015,DET vs. IND,L,241,82,33,86,38.4,5,22,22.7,11,17,64.7,19,31,50,14,8,5,23,21,-12
"
DET

",10/30/2015,DET vs. CHI,W,266,98,39,104,37.5,6,28,21.4,14,28,50.0,20,41,61,18,9,2,14,19,4
"
DET

",10/28/2015,DET vs. UTA,W,240,92,30,74,40.5,7,19,36.8,25,34,73.5,8,35,43,16,2,4,10,20,5
"
DET

",10/27/2015,DET @ ATL,W,239,106,37,96,38.5,12,29,41.4,20,26,76.9,23,36,59,23,5,3,15,15,12
"
DET

",10/23/2015,DET vs. ATL,W,240,115,46,86,53.5,16,37,43.2,7,8,87.5,10,31,41,32,9,4,14,21,28
"
DET

",10/21/2015,DET vs. CHA,L,240,94,34,89,38.2,5,29,17.2,21,29,72.4,9,38,47,21,10,4,11,24,-5
"
DET

",10/18/2015,DET @ SAS,L,241,92,33,84,39.3,8,25,32.0,18,21,85.7,7,30,37,19,12,5,12,16,-4
"
DET

",10/14/2015,DET @ CHI,W,239,114,43,79,54.4,9,21,42.9,19,21,90.5,7,33,40,25,7,1,10,17,23
"
DET

",10/13/2015,DET @ IND,L,241,97,35,90,38.9,8,19,42.1,19,22,86.4,20,33,53,16,4,5,18,15,-4
"
DET

",10/10/2015,DET @ MIL,W,240,117,38,76,50.0,12,30,40.0,29,43,67.4,10,32,42,25,8,7,9,21,29
"
DET

",10/08/2015,DET vs. BKN,L,240,83,34,83,41.0,7,22,31.8,8,11,72.7,11,32,43,19,11,4,21,24,-10
"
DET

",10/06/2015,DET vs. IND,L,241,112,39,80,48.8,13,29,44.8,21,27,77.8,11,30,41,25,5,3,19,28,-3
"
DET

",04/15/2015,DET @ NYK,W,240,112,41,81,50.6,10,26,38.5,20,27,74.1,11,33,44,20,14,3,12,22,22
"
DET

",04/13/2015,DET @ CLE,L,239,97,38,83,45.8,9,25,36.0,12,20,60.0,8,23,31,21,4,4,7,8,-12
"
DET

",04/12/2015,DET vs. CHA,W,238,116,41,81,50.6,16,28,57.1,18,23,78.3,12,44,56,33,6,4,14,23,39
"
DET

",04/10/2015,DET vs. IND,L,240,103,40,89,44.9,11,23,47.8,12,23,52.2,15,30,45,25,5,5,11,20,-4
"
DET

",04/08/2015,DET vs. BOS,L,239,103,45,84,53.6,7,18,38.9,6,10,60.0,11,30,41,29,7,5,19,25,-10
"
DET

",04/04/2015,DET vs. MIA,W,240,99,36,73,49.3,12,26,46.2,15,23,65.2,8,25,33,20,6,3,16,21,1
"
DET

",04/03/2015,DET @ CHI,L,240,82,32,74,43.2,6,19,31.6,12,15,80.0,11,31,42,14,9,12,18,20,-6
"
DET

",04/01/2015,DET @ CHA,L,240,78,31,88,35.2,5,22,22.7,11,18,61.1,14,37,51,24,6,4,12,20,-24
