PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Reggie Jackson,DET,02/03/2016,DET @ BOS,L,33,17,5,9,55.6,3,6,50.0,4,4,100.0,0,1,1,7,0,1,3,4,8
Aron Baynes,DET,02/03/2016,DET @ BOS,L,15,4,0,3,0.0,0,0,-,4,6,66.7,2,3,5,0,2,1,0,1,-2
Marcus Morris,DET,02/03/2016,DET @ BOS,L,36,15,4,17,23.5,2,6,33.3,5,6,83.3,2,5,7,4,0,0,2,2,-4
Stanley Johnson,DET,02/03/2016,DET @ BOS,L,30,11,4,13,30.8,3,10,30.0,0,0,-,1,8,9,2,0,0,3,3,-1
Ersan Ilyasova,DET,02/03/2016,DET @ BOS,L,26,16,6,11,54.5,2,3,66.7,2,4,50.0,0,2,2,0,0,0,3,1,-1
Brandon Jennings,DET,02/03/2016,DET @ BOS,L,20,5,2,8,25.0,0,3,0.0,1,2,50.0,0,2,2,3,0,1,0,2,-14
Kentavious Caldwell-Pope,DET,02/03/2016,DET @ BOS,L,16,4,2,6,33.3,0,1,0.0,0,0,-,1,1,2,1,1,0,2,1,-12
Darrun Hilliard,DET,02/03/2016,DET @ BOS,L,12,4,2,3,66.7,0,1,0.0,0,0,-,1,2,3,1,0,0,0,0,4
Anthony Tolliver,DET,02/03/2016,DET @ BOS,L,18,3,1,4,25.0,1,4,25.0,0,0,-,1,3,4,0,0,0,2,2,-8
Ersan Ilyasova,DET,02/01/2016,DET @ BKN,W,31,16,5,12,41.7,1,5,20.0,5,5,100.0,3,3,6,0,2,1,0,0,16
Marcus Morris,DET,02/01/2016,DET @ BKN,W,32,12,4,11,36.4,1,3,33.3,3,4,75.0,3,3,6,3,0,0,1,3,16
Anthony Tolliver,DET,02/01/2016,DET @ BKN,W,16,2,1,3,33.3,0,2,0.0,0,0,-,1,3,4,1,0,0,0,1,-12
Kentavious Caldwell-Pope,DET,02/01/2016,DET @ BKN,W,39,16,7,18,38.9,1,4,25.0,1,1,100.0,1,4,5,0,0,1,0,2,13
Aron Baynes,DET,02/01/2016,DET @ BKN,W,11,2,1,4,25.0,0,0,-,0,1,0.0,2,2,4,1,1,1,2,3,-6
Brandon Jennings,DET,02/01/2016,DET @ BKN,W,17,3,1,4,25.0,1,4,25.0,0,0,-,0,1,1,5,0,0,0,0,-1
Reggie Jackson,DET,02/01/2016,DET @ BKN,W,31,19,8,20,40.0,3,6,50.0,0,0,-,2,1,3,6,0,0,1,1,6
Darrun Hilliard,DET,02/01/2016,DET @ BKN,W,5,1,0,0,-,0,0,-,1,2,50.0,0,1,1,0,0,0,0,0,-6
Stanley Johnson,DET,02/01/2016,DET @ BKN,W,21,13,5,11,45.5,3,6,50.0,0,0,-,0,1,1,1,1,0,3,2,-12
Andre Drummond,DET,02/01/2016,DET @ BKN,W,37,21,10,15,66.7,0,0,-,1,3,33.3,7,11,18,1,1,1,2,3,11
Brandon Jennings,DET,01/30/2016,DET @ TOR,L,22,22,7,14,50.0,5,11,45.5,3,5,60.0,0,4,4,0,2,1,0,3,11
Marcus Morris,DET,01/30/2016,DET @ TOR,L,34,13,6,13,46.2,1,4,25.0,0,0,-,1,2,3,2,2,1,2,0,-5
Andre Drummond,DET,01/30/2016,DET @ TOR,L,28,11,5,9,55.6,0,0,-,1,9,11.1,3,9,12,1,0,2,1,6,-18
Stanley Johnson,DET,01/30/2016,DET @ TOR,L,28,12,4,13,30.8,0,2,0.0,4,4,100.0,0,4,4,1,1,0,1,5,-11
Aron Baynes,DET,01/30/2016,DET @ TOR,L,20,11,3,7,42.9,0,0,-,5,6,83.3,3,4,7,2,1,2,1,4,14
Darrun Hilliard,DET,01/30/2016,DET @ TOR,L,10,5,2,3,66.7,1,2,50.0,0,0,-,0,2,2,1,1,0,1,3,11
Kentavious Caldwell-Pope,DET,01/30/2016,DET @ TOR,L,34,15,5,11,45.5,1,4,25.0,4,5,80.0,1,3,4,1,2,0,3,2,-8
Anthony Tolliver,DET,01/30/2016,DET @ TOR,L,35,5,2,6,33.3,1,5,20.0,0,0,-,1,1,2,0,0,0,1,3,5
Reggie Jackson,DET,01/30/2016,DET @ TOR,L,28,13,5,11,45.5,0,1,0.0,3,5,60.0,1,0,1,1,1,0,1,3,-19
Aron Baynes,DET,01/29/2016,DET vs. CLE,L,11,4,2,2,100.0,0,0,-,0,0,-,1,4,5,0,0,0,1,3,9
Marcus Morris,DET,01/29/2016,DET vs. CLE,L,30,14,4,10,40.0,1,4,25.0,5,5,100.0,0,2,2,2,1,0,1,4,-11
Reggie Jackson,DET,01/29/2016,DET vs. CLE,L,32,15,6,16,37.5,0,3,0.0,3,3,100.0,0,2,2,6,0,0,3,0,-14
Kentavious Caldwell-Pope,DET,01/29/2016,DET vs. CLE,L,35,19,7,15,46.7,2,4,50.0,3,3,100.0,3,4,7,2,1,1,0,2,-14
Darrun Hilliard,DET,01/29/2016,DET vs. CLE,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Andre Drummond,DET,01/29/2016,DET vs. CLE,L,35,20,9,14,64.3,0,0,-,2,8,25.0,1,7,8,0,1,3,0,4,-21
Stanley Johnson,DET,01/29/2016,DET vs. CLE,L,30,15,6,10,60.0,1,1,100.0,2,3,66.7,1,3,4,5,1,0,2,4,7
Anthony Tolliver,DET,01/29/2016,DET vs. CLE,L,21,8,2,5,40.0,2,5,40.0,2,2,100.0,1,3,4,3,0,0,0,1,-3
Brandon Jennings,DET,01/29/2016,DET vs. CLE,L,16,0,0,2,0.0,0,2,0.0,0,0,-,0,2,2,2,0,0,1,1,6
Ersan Ilyasova,DET,01/29/2016,DET vs. CLE,L,27,11,4,10,40.0,1,4,25.0,2,2,100.0,1,3,4,0,1,0,1,4,-5
Joel Anthony,DET,01/29/2016,DET vs. CLE,L,2,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,1,4
Ersan Ilyasova,DET,01/27/2016,DET vs. PHI,W,20,3,1,6,16.7,0,2,0.0,1,2,50.0,4,4,8,0,1,0,1,2,-4
Andre Drummond,DET,01/27/2016,DET vs. PHI,W,35,25,9,16,56.3,0,0,-,7,12,58.3,9,9,18,0,2,1,2,1,2
Kentavious Caldwell-Pope,DET,01/27/2016,DET vs. PHI,W,38,14,4,11,36.4,0,3,0.0,6,7,85.7,2,2,4,0,1,1,1,3,7
Anthony Tolliver,DET,01/27/2016,DET vs. PHI,W,20,0,0,3,0.0,0,3,0.0,0,0,-,0,3,3,0,0,0,1,2,9
Brandon Jennings,DET,01/27/2016,DET vs. PHI,W,17,1,0,4,0.0,0,1,0.0,1,2,50.0,1,1,2,3,1,0,1,1,4
Marcus Morris,DET,01/27/2016,DET vs. PHI,W,36,10,4,11,36.4,0,3,0.0,2,4,50.0,2,5,7,3,0,0,1,2,12
Stanley Johnson,DET,01/27/2016,DET vs. PHI,W,32,18,8,16,50.0,1,4,25.0,1,2,50.0,2,1,3,3,1,0,1,3,16
Reggie Jackson,DET,01/27/2016,DET vs. PHI,W,31,27,9,18,50.0,4,5,80.0,5,5,100.0,0,2,2,3,1,0,2,4,9
Aron Baynes,DET,01/27/2016,DET vs. PHI,W,12,12,4,6,66.7,0,0,-,4,4,100.0,1,3,4,3,2,0,0,1,10
Ersan Ilyasova,DET,01/25/2016,DET @ UTA,W,23,16,5,9,55.6,2,4,50.0,4,4,100.0,1,7,8,0,0,0,0,4,13
Aron Baynes,DET,01/25/2016,DET @ UTA,W,19,8,2,5,40.0,0,0,-,4,6,66.7,1,4,5,2,0,1,0,0,-3
Kentavious Caldwell-Pope,DET,01/25/2016,DET @ UTA,W,38,12,4,8,50.0,0,2,0.0,4,4,100.0,1,6,7,3,1,0,4,2,9
Anthony Tolliver,DET,01/25/2016,DET @ UTA,W,25,12,4,8,50.0,4,5,80.0,0,0,-,2,4,6,0,0,0,1,1,-10
Reggie Jackson,DET,01/25/2016,DET @ UTA,W,31,29,12,19,63.2,3,4,75.0,2,4,50.0,1,2,3,4,1,0,1,0,7
Marcus Morris,DET,01/25/2016,DET @ UTA,W,35,2,1,9,11.1,0,3,0.0,0,0,-,1,3,4,4,1,0,0,2,-2
Brandon Jennings,DET,01/25/2016,DET @ UTA,W,17,1,0,4,0.0,0,1,0.0,1,3,33.3,0,1,1,4,1,0,0,2,-4
Stanley Johnson,DET,01/25/2016,DET @ UTA,W,23,8,3,4,75.0,2,3,66.7,0,2,0.0,0,2,2,2,1,0,2,4,-1
Andre Drummond,DET,01/25/2016,DET @ UTA,W,29,7,3,9,33.3,0,0,-,1,10,10.0,0,6,6,0,2,0,2,3,6
Anthony Tolliver,DET,01/23/2016,DET @ DEN,L,21,9,2,3,66.7,2,2,100.0,3,3,100.0,0,2,2,1,0,0,0,3,4
Andre Drummond,DET,01/23/2016,DET @ DEN,L,18,4,2,5,40.0,0,0,-,0,4,0.0,2,6,8,1,0,1,1,2,-1
Kentavious Caldwell-Pope,DET,01/23/2016,DET @ DEN,L,35,16,7,16,43.8,1,7,14.3,1,2,50.0,1,3,4,1,0,2,4,2,-21
Aron Baynes,DET,01/23/2016,DET @ DEN,L,30,13,6,7,85.7,0,0,-,1,2,50.0,2,8,10,0,0,2,2,2,-2
Darrun Hilliard,DET,01/23/2016,DET @ DEN,L,7,2,1,2,50.0,0,0,-,0,0,-,0,1,1,2,0,0,1,0,5
Marcus Morris,DET,01/23/2016,DET @ DEN,L,33,20,7,10,70.0,3,4,75.0,3,4,75.0,0,2,2,2,1,0,2,5,1
Stanley Johnson,DET,01/23/2016,DET @ DEN,L,20,12,5,10,50.0,2,5,40.0,0,0,-,1,3,4,1,0,0,1,2,12
Ersan Ilyasova,DET,01/23/2016,DET @ DEN,L,28,9,4,10,40.0,0,2,0.0,1,2,50.0,3,6,9,3,1,0,1,3,-10
Brandon Jennings,DET,01/23/2016,DET @ DEN,L,18,5,2,6,33.3,1,3,33.3,0,0,-,2,8,10,4,1,0,1,0,10
Reggie Jackson,DET,01/23/2016,DET @ DEN,L,30,11,4,15,26.7,2,6,33.3,1,2,50.0,0,1,1,8,1,0,3,3,-13
Marcus Morris,DET,01/21/2016,DET @ NOP,L,35,4,2,11,18.2,0,2,0.0,0,0,-,3,3,6,2,0,1,2,0,-22
Stanley Johnson,DET,01/21/2016,DET @ NOP,L,20,6,3,6,50.0,0,2,0.0,0,0,-,1,1,2,2,0,0,1,3,1
Ersan Ilyasova,DET,01/21/2016,DET @ NOP,L,37,10,3,10,30.0,0,4,0.0,4,5,80.0,3,1,4,1,0,0,2,1,-10
Reggie Jackson,DET,01/21/2016,DET @ NOP,L,28,8,4,11,36.4,0,4,0.0,0,0,-,0,0,0,5,0,0,4,3,-15
Aron Baynes,DET,01/21/2016,DET @ NOP,L,12,6,2,5,40.0,0,0,-,2,2,100.0,1,4,5,0,1,0,1,2,-8
Kentavious Caldwell-Pope,DET,01/21/2016,DET @ NOP,L,41,23,9,17,52.9,3,8,37.5,2,2,100.0,1,2,3,0,0,1,2,3,-11
Brandon Jennings,DET,01/21/2016,DET @ NOP,L,20,20,6,11,54.5,3,6,50.0,5,6,83.3,0,1,1,5,0,0,1,0,-1
Andre Drummond,DET,01/21/2016,DET @ NOP,L,36,19,8,17,47.1,0,1,0.0,3,5,60.0,9,13,22,1,4,0,2,2,-8
Anthony Tolliver,DET,01/21/2016,DET @ NOP,L,11,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,1,0,0,0,0,-6
Aron Baynes,DET,01/20/2016,DET @ HOU,W,25,8,3,5,60.0,0,0,-,2,2,100.0,2,7,9,1,0,2,0,2,-1
Ersan Ilyasova,DET,01/20/2016,DET @ HOU,W,33,18,7,14,50.0,2,4,50.0,2,2,100.0,3,3,6,2,1,1,0,2,6
Brandon Jennings,DET,01/20/2016,DET @ HOU,W,16,5,2,5,40.0,1,2,50.0,0,0,-,0,0,0,4,1,0,1,1,6
Stanley Johnson,DET,01/20/2016,DET @ HOU,W,24,7,1,4,25.0,0,2,0.0,5,6,83.3,2,7,9,2,1,1,3,3,14
Andre Drummond,DET,01/20/2016,DET @ HOU,W,23,17,2,4,50.0,0,0,-,13,36,36.1,5,6,11,2,1,1,2,2,10
Kentavious Caldwell-Pope,DET,01/20/2016,DET @ HOU,W,37,22,8,18,44.4,3,9,33.3,3,3,100.0,1,1,2,2,3,0,0,2,8
Anthony Tolliver,DET,01/20/2016,DET @ HOU,W,12,7,2,5,40.0,1,4,25.0,2,2,100.0,0,5,5,0,0,1,1,1,3
Reggie Jackson,DET,01/20/2016,DET @ HOU,W,32,17,7,15,46.7,1,3,33.3,2,2,100.0,1,4,5,9,1,0,1,1,3
Marcus Morris,DET,01/20/2016,DET @ HOU,W,37,22,6,10,60.0,4,6,66.7,6,6,100.0,0,5,5,1,0,1,2,3,-4
Marcus Morris,DET,01/18/2016,DET vs. CHI,L,38,18,8,16,50.0,0,6,0.0,2,2,100.0,3,3,6,0,1,0,2,2,2
Ersan Ilyasova,DET,01/18/2016,DET vs. CHI,L,35,19,8,16,50.0,3,8,37.5,0,0,-,3,8,11,1,1,1,0,2,0
Stanley Johnson,DET,01/18/2016,DET vs. CHI,L,22,8,2,7,28.6,0,2,0.0,4,4,100.0,3,1,4,1,1,0,4,2,-21
Andre Drummond,DET,01/18/2016,DET vs. CHI,L,34,13,5,9,55.6,0,0,-,3,10,30.0,6,10,16,2,1,1,2,5,5
Aron Baynes,DET,01/18/2016,DET vs. CHI,L,14,8,4,6,66.7,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-15
Kentavious Caldwell-Pope,DET,01/18/2016,DET vs. CHI,L,33,14,6,13,46.2,1,1,100.0,1,1,100.0,0,5,5,2,2,0,1,2,1
Reggie Jackson,DET,01/18/2016,DET vs. CHI,L,32,19,8,20,40.0,1,5,20.0,2,3,66.7,3,0,3,6,1,0,1,0,7
Anthony Tolliver,DET,01/18/2016,DET vs. CHI,L,13,0,0,2,0.0,0,2,0.0,0,0,-,1,1,2,4,1,0,0,1,-10
Darrun Hilliard,DET,01/18/2016,DET vs. CHI,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Brandon Jennings,DET,01/18/2016,DET vs. CHI,L,16,2,1,6,16.7,0,2,0.0,0,0,-,1,2,3,2,0,0,1,0,-17
Stanley Johnson,DET,01/16/2016,DET vs. GSW,W,20,8,3,7,42.9,1,2,50.0,1,1,100.0,0,2,2,3,1,1,0,3,7
Anthony Tolliver,DET,01/16/2016,DET vs. GSW,W,15,5,1,3,33.3,0,2,0.0,3,3,100.0,2,1,3,0,0,0,0,1,22
Steve Blake,DET,01/16/2016,DET vs. GSW,W,7,6,2,2,100.0,2,2,100.0,0,0,-,0,2,2,1,0,0,1,1,13
Marcus Morris,DET,01/16/2016,DET vs. GSW,W,40,16,6,14,42.9,1,4,25.0,3,4,75.0,1,7,8,6,0,2,1,1,30
Kentavious Caldwell-Pope,DET,01/16/2016,DET vs. GSW,W,39,20,9,16,56.3,1,5,20.0,1,2,50.0,0,5,5,2,3,1,3,3,-2
Aron Baynes,DET,01/16/2016,DET vs. GSW,W,9,12,6,6,100.0,0,0,-,0,0,-,1,3,4,0,0,2,0,1,15
Ersan Ilyasova,DET,01/16/2016,DET vs. GSW,W,30,10,4,8,50.0,2,2,100.0,0,0,-,4,4,8,1,1,2,0,3,-3
Andre Drummond,DET,01/16/2016,DET vs. GSW,W,39,14,6,20,30.0,0,0,-,2,6,33.3,7,14,21,0,1,3,4,5,3
Brandon Jennings,DET,01/16/2016,DET vs. GSW,W,8,2,1,5,20.0,0,2,0.0,0,0,-,0,1,1,1,1,0,0,1,4
Reggie Jackson,DET,01/16/2016,DET vs. GSW,W,33,20,9,20,45.0,1,4,25.0,1,4,25.0,2,1,3,8,1,0,0,3,1
Aron Baynes,DET,01/14/2016,DET @ MEM,L,13,3,0,1,0.0,0,0,-,3,4,75.0,0,2,2,0,0,0,4,4,-17
Brandon Jennings,DET,01/14/2016,DET @ MEM,L,24,10,3,5,60.0,2,4,50.0,2,2,100.0,0,1,1,3,0,0,1,1,-7
Anthony Tolliver,DET,01/14/2016,DET @ MEM,L,22,8,3,5,60.0,2,4,50.0,0,0,-,0,2,2,0,0,0,0,1,-5
Reggie Jackson,DET,01/14/2016,DET @ MEM,L,24,12,5,7,71.4,1,3,33.3,1,1,100.0,0,1,1,6,0,0,2,4,5
Kentavious Caldwell-Pope,DET,01/14/2016,DET @ MEM,L,31,9,3,6,50.0,1,3,33.3,2,2,100.0,0,2,2,1,0,0,3,2,-3
Stanley Johnson,DET,01/14/2016,DET @ MEM,L,25,19,7,14,50.0,5,9,55.6,0,0,-,0,3,3,0,2,0,2,0,-4
Ersan Ilyasova,DET,01/14/2016,DET @ MEM,L,26,17,6,13,46.2,3,5,60.0,2,2,100.0,5,4,9,2,1,0,0,3,3
Marcus Morris,DET,01/14/2016,DET @ MEM,L,40,12,5,10,50.0,1,4,25.0,1,2,50.0,0,4,4,5,0,0,6,1,3
Andre Drummond,DET,01/14/2016,DET @ MEM,L,34,11,5,11,45.5,0,0,-,1,4,25.0,3,8,11,1,0,2,2,5,19
Joel Anthony,DET,01/14/2016,DET @ MEM,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Aron Baynes,DET,01/12/2016,DET vs. SAS,L,19,15,6,13,46.2,0,0,-,3,4,75.0,6,3,9,0,0,1,0,4,-6
Marcus Morris,DET,01/12/2016,DET vs. SAS,L,28,4,1,6,16.7,0,3,0.0,2,2,100.0,0,5,5,3,1,0,0,3,-12
Andre Drummond,DET,01/12/2016,DET vs. SAS,L,28,17,8,13,61.5,0,0,-,1,6,16.7,4,6,10,0,2,1,1,4,-1
Joel Anthony,DET,01/12/2016,DET vs. SAS,L,1,2,1,1,100.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2
Stanley Johnson,DET,01/12/2016,DET vs. SAS,L,24,2,0,7,0.0,0,1,0.0,2,2,100.0,0,3,3,1,0,0,1,4,-1
Brandon Jennings,DET,01/12/2016,DET vs. SAS,L,18,9,4,9,44.4,0,2,0.0,1,1,100.0,0,0,0,4,0,0,1,1,-6
Ersan Ilyasova,DET,01/12/2016,DET vs. SAS,L,26,6,3,9,33.3,0,3,0.0,0,0,-,0,6,6,0,1,0,3,2,-15
Reggie Jackson,DET,01/12/2016,DET vs. SAS,L,31,10,3,13,23.1,0,3,0.0,4,4,100.0,0,1,1,11,1,0,5,0,-6
Kentavious Caldwell-Pope,DET,01/12/2016,DET vs. SAS,L,43,25,9,14,64.3,4,6,66.7,3,4,75.0,1,2,3,2,3,0,1,5,-6
Anthony Tolliver,DET,01/12/2016,DET vs. SAS,L,22,9,3,6,50.0,2,5,40.0,1,3,33.3,0,4,4,1,0,0,0,0,5
Ersan Ilyasova,DET,01/09/2016,DET vs. BKN,W,29,19,8,18,44.4,2,5,40.0,1,3,33.3,5,8,13,1,1,1,1,2,4
Andre Drummond,DET,01/09/2016,DET vs. BKN,W,33,23,11,15,73.3,0,0,-,1,3,33.3,2,9,11,0,3,2,1,3,7
Brandon Jennings,DET,01/09/2016,DET vs. BKN,W,15,0,0,3,0.0,0,2,0.0,0,0,-,0,1,1,5,0,0,0,1,5
Stanley Johnson,DET,01/09/2016,DET vs. BKN,W,39,8,4,13,30.8,0,5,0.0,0,0,-,0,4,4,1,2,1,1,0,9
Kentavious Caldwell-Pope,DET,01/09/2016,DET vs. BKN,W,37,5,2,8,25.0,0,4,0.0,1,1,100.0,2,1,3,4,3,0,3,0,3
Darrun Hilliard,DET,01/09/2016,DET vs. BKN,W,20,8,3,5,60.0,1,2,50.0,1,1,100.0,0,4,4,1,0,0,1,2,16
Reggie Jackson,DET,01/09/2016,DET vs. BKN,W,33,23,10,17,58.8,3,4,75.0,0,0,-,0,3,3,8,0,0,2,3,9
Aron Baynes,DET,01/09/2016,DET vs. BKN,W,15,7,2,7,28.6,0,0,-,3,3,100.0,2,3,5,1,0,0,0,1,7
Anthony Tolliver,DET,01/09/2016,DET vs. BKN,W,19,10,3,6,50.0,2,5,40.0,2,3,66.7,0,3,3,2,1,1,0,0,10
Kentavious Caldwell-Pope,DET,01/06/2016,DET @ BOS,W,37,20,6,13,46.2,4,7,57.1,4,6,66.7,0,4,4,1,1,0,2,4,0
Brandon Jennings,DET,01/06/2016,DET @ BOS,W,17,6,1,4,25.0,1,4,25.0,3,4,75.0,1,0,1,2,0,0,3,1,11
Anthony Tolliver,DET,01/06/2016,DET @ BOS,W,24,6,2,6,33.3,2,6,33.3,0,2,0.0,0,4,4,0,0,0,0,2,12
Andre Drummond,DET,01/06/2016,DET @ BOS,W,21,13,6,8,75.0,0,0,-,1,5,20.0,1,4,5,0,2,2,1,4,-11
Marcus Morris,DET,01/06/2016,DET @ BOS,W,37,8,2,8,25.0,0,0,-,4,5,80.0,2,4,6,0,0,0,2,5,3
Stanley Johnson,DET,01/06/2016,DET @ BOS,W,23,11,4,8,50.0,1,3,33.3,2,2,100.0,2,8,10,2,1,0,5,3,8
Aron Baynes,DET,01/06/2016,DET @ BOS,W,18,6,2,3,66.7,0,0,-,2,2,100.0,0,6,6,4,0,1,2,5,15
Reggie Jackson,DET,01/06/2016,DET @ BOS,W,31,24,8,15,53.3,1,2,50.0,7,8,87.5,0,2,2,6,0,0,1,0,-6
Ersan Ilyasova,DET,01/06/2016,DET @ BOS,W,22,5,2,8,25.0,1,5,20.0,0,2,0.0,3,2,5,3,0,1,2,3,-8
Joel Anthony,DET,01/06/2016,DET @ BOS,W,9,0,0,1,0.0,0,0,-,0,0,-,2,2,4,0,0,1,0,0,1
Darrun Hilliard,DET,01/04/2016,DET vs. ORL,W,4,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-4
Andre Drummond,DET,01/04/2016,DET vs. ORL,W,29,17,8,14,57.1,0,0,-,1,4,25.0,6,6,12,0,1,1,1,0,9
Marcus Morris,DET,01/04/2016,DET vs. ORL,W,30,13,4,7,57.1,0,1,0.0,5,5,100.0,1,2,3,1,0,0,0,2,9
Ersan Ilyasova,DET,01/04/2016,DET vs. ORL,W,28,10,4,10,40.0,2,5,40.0,0,0,-,2,2,4,1,2,0,0,1,11
Reggie Bullock,DET,01/04/2016,DET vs. ORL,W,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,0,-4
Joel Anthony,DET,01/04/2016,DET vs. ORL,W,4,0,0,1,0.0,0,0,-,0,0,-,1,0,1,0,0,1,0,1,-4
Aron Baynes,DET,01/04/2016,DET vs. ORL,W,16,7,3,3,100.0,0,0,-,1,2,50.0,4,6,10,2,0,2,2,2,21
Reggie Jackson,DET,01/04/2016,DET vs. ORL,W,26,14,6,12,50.0,0,2,0.0,2,2,100.0,1,2,3,7,0,1,2,2,5
Anthony Tolliver,DET,01/04/2016,DET vs. ORL,W,20,10,4,8,50.0,2,4,50.0,0,0,-,2,4,6,1,0,1,1,1,15
Stanley Johnson,DET,01/04/2016,DET vs. ORL,W,25,6,2,8,25.0,2,5,40.0,0,0,-,1,6,7,3,2,0,1,3,23
Steve Blake,DET,01/04/2016,DET vs. ORL,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,1,0,-4
Brandon Jennings,DET,01/04/2016,DET vs. ORL,W,18,17,5,9,55.6,3,4,75.0,4,6,66.7,0,1,1,6,1,0,0,1,25
Kentavious Caldwell-Pope,DET,01/04/2016,DET vs. ORL,W,34,21,7,12,58.3,5,8,62.5,2,2,100.0,0,6,6,2,0,0,2,4,28
Anthony Tolliver,DET,01/02/2016,DET @ IND,L,16,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,1,1,0,1,0,6
Reggie Jackson,DET,01/02/2016,DET @ IND,L,29,12,5,19,26.3,2,5,40.0,0,1,0.0,0,3,3,5,1,0,1,2,-23
Ersan Ilyasova,DET,01/02/2016,DET @ IND,L,32,12,6,16,37.5,0,3,0.0,0,0,-,2,5,7,1,1,0,2,1,-18
Aron Baynes,DET,01/02/2016,DET @ IND,L,12,10,3,5,60.0,0,0,-,4,4,100.0,1,2,3,0,0,0,0,1,6
Andre Drummond,DET,01/02/2016,DET @ IND,L,36,11,5,12,41.7,0,0,-,1,8,12.5,7,11,18,0,1,2,1,3,-18
Kentavious Caldwell-Pope,DET,01/02/2016,DET @ IND,L,41,16,6,16,37.5,1,7,14.3,3,3,100.0,0,10,10,1,0,0,2,3,-13
Stanley Johnson,DET,01/02/2016,DET @ IND,L,19,6,2,6,33.3,0,1,0.0,2,3,66.7,1,1,2,2,0,0,1,3,7
Brandon Jennings,DET,01/02/2016,DET @ IND,L,19,4,1,5,20.0,0,2,0.0,2,2,100.0,0,2,2,3,1,0,1,2,11
Marcus Morris,DET,01/02/2016,DET @ IND,L,36,11,5,13,38.5,0,1,0.0,1,2,50.0,1,1,2,4,0,0,1,3,-18
Brandon Jennings,DET,12/31/2015,DET vs. MIN,W,21,7,3,9,33.3,1,6,16.7,0,1,0.0,0,6,6,3,0,0,3,1,4
Kentavious Caldwell-Pope,DET,12/31/2015,DET vs. MIN,W,37,22,7,17,41.2,2,9,22.2,6,7,85.7,1,3,4,3,3,0,0,2,29
Reggie Jackson,DET,12/31/2015,DET vs. MIN,W,27,19,8,14,57.1,2,4,50.0,1,1,100.0,1,2,3,9,0,0,3,3,21
Stanley Johnson,DET,12/31/2015,DET vs. MIN,W,22,5,2,9,22.2,1,3,33.3,0,0,-,1,3,4,4,0,0,0,1,6
Marcus Morris,DET,12/31/2015,DET vs. MIN,W,34,8,1,5,20.0,0,3,0.0,6,6,100.0,0,2,2,3,1,0,4,1,17
Joel Anthony,DET,12/31/2015,DET vs. MIN,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,1,0
Reggie Bullock,DET,12/31/2015,DET vs. MIN,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Ersan Ilyasova,DET,12/31/2015,DET vs. MIN,W,29,10,3,6,50.0,3,3,100.0,1,2,50.0,0,5,5,0,1,2,1,3,-1
Andre Drummond,DET,12/31/2015,DET vs. MIN,W,31,23,11,14,78.6,0,0,-,1,7,14.3,7,11,18,1,0,0,4,1,16
Aron Baynes,DET,12/31/2015,DET vs. MIN,W,14,2,1,4,25.0,0,0,-,0,0,-,2,3,5,0,0,0,1,3,9
Darrun Hilliard,DET,12/31/2015,DET vs. MIN,W,3,4,0,1,0.0,0,0,-,4,4,100.0,0,0,0,0,1,0,0,0,0
Anthony Tolliver,DET,12/31/2015,DET vs. MIN,W,16,15,5,7,71.4,5,7,71.4,0,0,-,0,5,5,1,1,0,0,0,26
Aron Baynes,DET,12/29/2015,DET @ NYK,L,12,0,0,2,0.0,0,0,-,0,0,-,0,4,4,1,0,1,0,2,-5
Stanley Johnson,DET,12/29/2015,DET @ NYK,L,19,4,2,6,33.3,0,2,0.0,0,0,-,0,2,2,3,0,0,0,2,-9
Ersan Ilyasova,DET,12/29/2015,DET @ NYK,L,36,19,8,15,53.3,3,6,50.0,0,0,-,4,2,6,1,3,0,1,1,-5
Marcus Morris,DET,12/29/2015,DET @ NYK,L,36,17,7,16,43.8,1,5,20.0,2,2,100.0,2,2,4,2,1,1,2,1,-7
Brandon Jennings,DET,12/29/2015,DET @ NYK,L,17,7,2,4,50.0,1,2,50.0,2,2,100.0,0,1,1,4,0,0,1,1,-7
Anthony Tolliver,DET,12/29/2015,DET @ NYK,L,12,8,3,5,60.0,2,4,50.0,0,0,-,1,1,2,0,0,1,1,1,-7
