PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Stanley Johnson,DET,12/17/2017,DET vs. ORL,W,31,7,1,5,20.0,1,3,33.3,4,6,66.7,1,5,6,5,2,0,1,3,-6
Boban Marjanovic,DET,12/17/2017,DET vs. ORL,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Ish Smith,DET,12/17/2017,DET vs. ORL,W,22,4,2,6,33.3,0,0,-,0,0,-,1,3,4,6,0,0,1,3,12
Langston Galloway,DET,12/15/2017,DET @ IND,W,18,11,4,9,44.4,3,7,42.9,0,0,-,0,1,1,0,1,0,0,0,11
Luke Kennard,DET,12/15/2017,DET @ IND,W,18,9,4,6,66.7,1,1,100.0,0,0,-,2,3,5,4,0,1,0,0,18
Ish Smith,DET,12/15/2017,DET @ IND,W,24,6,3,12,25.0,0,0,-,0,0,-,0,1,1,4,1,0,2,0,11
Reggie Bullock,DET,12/15/2017,DET @ IND,W,33,15,5,8,62.5,3,4,75.0,2,2,100.0,0,1,1,0,3,1,0,4,-6
Anthony Tolliver,DET,12/15/2017,DET @ IND,W,20,9,3,6,50.0,3,6,50.0,0,0,-,0,3,3,2,0,0,1,1,3
Stanley Johnson,DET,12/15/2017,DET @ IND,W,27,13,4,10,40.0,1,4,25.0,4,4,100.0,1,5,6,4,0,0,0,3,-11
Reggie Jackson,DET,12/15/2017,DET @ IND,W,24,8,3,11,27.3,0,3,0.0,2,2,100.0,0,3,3,3,0,1,3,5,-5
Tobias Harris,DET,12/15/2017,DET @ IND,W,28,6,2,14,14.3,2,7,28.6,0,1,0.0,1,4,5,4,0,1,2,2,3
Andre Drummond,DET,12/15/2017,DET @ IND,W,32,23,9,14,64.3,0,0,-,5,8,62.5,6,7,13,1,1,3,1,3,-5
Eric Moreland,DET,12/15/2017,DET @ IND,W,16,4,2,3,66.7,0,0,-,0,0,-,1,5,6,0,1,3,0,3,11
Anthony Tolliver,DET,12/14/2017,DET @ ATL,W,15,6,2,5,40.0,2,4,50.0,0,0,-,1,1,2,0,0,0,2,1,-1
Henry Ellenson,DET,12/14/2017,DET @ ATL,W,2,2,1,1,100.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Stanley Johnson,DET,12/14/2017,DET @ ATL,W,15,2,1,2,50.0,0,1,0.0,0,0,-,0,2,2,1,0,0,0,0,0
Tobias Harris,DET,12/14/2017,DET @ ATL,W,31,19,8,11,72.7,1,3,33.3,2,2,100.0,0,4,4,2,1,0,1,3,19
Reggie Jackson,DET,12/14/2017,DET @ ATL,W,28,11,5,11,45.5,1,3,33.3,0,0,-,0,0,0,5,1,0,4,3,7
Langston Galloway,DET,12/14/2017,DET @ ATL,W,22,17,6,11,54.5,5,9,55.6,0,0,-,1,2,3,3,2,0,1,3,16
Reggie Bullock,DET,12/14/2017,DET @ ATL,W,24,10,4,8,50.0,2,4,50.0,0,0,-,0,1,1,0,1,0,0,2,7
Luke Kennard,DET,12/14/2017,DET @ ATL,W,19,4,1,8,12.5,0,4,0.0,2,2,100.0,2,1,3,2,2,1,2,2,7
Eric Moreland,DET,12/14/2017,DET @ ATL,W,15,0,0,2,0.0,0,0,-,0,2,0.0,3,7,10,1,1,0,0,1,10
Ish Smith,DET,12/14/2017,DET @ ATL,W,10,4,2,5,40.0,0,0,-,0,0,-,0,1,1,1,0,0,1,5,-2
Avery Bradley,DET,12/14/2017,DET @ ATL,W,27,18,7,15,46.7,2,2,100.0,2,2,100.0,0,1,1,3,1,0,1,1,10
Andre Drummond,DET,12/14/2017,DET @ ATL,W,32,12,4,11,36.4,0,0,-,4,4,100.0,7,12,19,8,1,2,3,2,5
Henry Ellenson,DET,12/12/2017,DET vs. DEN,L,8,7,3,6,50.0,1,1,100.0,0,0,-,1,1,2,1,0,0,2,1,2
Avery Bradley,DET,12/12/2017,DET vs. DEN,L,24,6,2,10,20.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,3,0,-25
Ish Smith,DET,12/12/2017,DET vs. DEN,L,23,8,4,14,28.6,0,1,0.0,0,0,-,2,2,4,5,0,0,1,1,4
Andre Drummond,DET,12/12/2017,DET vs. DEN,L,27,5,1,4,25.0,0,0,-,3,4,75.0,5,5,10,3,1,1,6,4,-29
Reggie Jackson,DET,12/12/2017,DET vs. DEN,L,25,12,4,10,40.0,1,5,20.0,3,3,100.0,1,3,4,2,0,1,2,1,-23
Stanley Johnson,DET,12/12/2017,DET vs. DEN,L,14,0,0,3,0.0,0,1,0.0,0,0,-,0,1,1,0,1,0,1,1,3
Langston Galloway,DET,12/12/2017,DET vs. DEN,L,22,18,5,9,55.6,5,7,71.4,3,3,100.0,0,2,2,0,0,0,0,0,8
Anthony Tolliver,DET,12/12/2017,DET vs. DEN,L,14,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,2,1,0,0,2,5
Luke Kennard,DET,12/12/2017,DET vs. DEN,L,13,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,-2
Tobias Harris,DET,12/12/2017,DET vs. DEN,L,30,2,0,7,0.0,0,4,0.0,2,2,100.0,1,7,8,1,1,0,4,3,-24
Reggie Bullock,DET,12/12/2017,DET vs. DEN,L,22,6,3,5,60.0,0,1,0.0,0,0,-,0,0,0,0,3,0,1,1,-22
Boban Marjanovic,DET,12/12/2017,DET vs. DEN,L,13,14,4,6,66.7,0,0,-,6,8,75.0,1,4,5,2,0,0,0,2,8
Eric Moreland,DET,12/12/2017,DET vs. DEN,L,4,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0
Anthony Tolliver,DET,12/10/2017,DET vs. BOS,L,22,15,6,9,66.7,3,6,50.0,0,0,-,1,2,3,0,0,1,2,2,-7
Reggie Bullock,DET,12/10/2017,DET vs. BOS,L,7,2,1,1,100.0,0,0,-,0,1,0.0,2,0,2,0,0,0,0,0,4
Andre Drummond,DET,12/10/2017,DET vs. BOS,L,31,6,1,5,20.0,0,0,-,4,6,66.7,2,13,15,1,0,0,1,4,-14
Luke Kennard,DET,12/10/2017,DET vs. BOS,L,24,7,3,8,37.5,1,5,20.0,0,0,-,0,2,2,0,1,0,1,1,5
Stanley Johnson,DET,12/10/2017,DET vs. BOS,L,15,5,2,5,40.0,1,2,50.0,0,0,-,0,2,2,0,0,0,1,3,-9
Boban Marjanovic,DET,12/10/2017,DET vs. BOS,L,5,2,0,1,0.0,0,0,-,2,2,100.0,0,0,0,1,0,0,0,2,2
Tobias Harris,DET,12/10/2017,DET vs. BOS,L,38,19,5,15,33.3,3,9,33.3,6,6,100.0,2,6,8,1,1,0,1,0,-4
Reggie Jackson,DET,12/10/2017,DET vs. BOS,L,19,2,0,9,0.0,0,2,0.0,2,2,100.0,1,0,1,3,2,0,0,1,-22
Langston Galloway,DET,12/10/2017,DET vs. BOS,L,6,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,1,1
Avery Bradley,DET,12/10/2017,DET vs. BOS,L,32,12,5,16,31.3,2,7,28.6,0,0,-,0,2,2,1,0,1,2,1,-20
Eric Moreland,DET,12/10/2017,DET vs. BOS,L,12,0,0,0,-,0,0,-,0,0,-,2,2,4,2,2,2,0,1,2
Ish Smith,DET,12/10/2017,DET vs. BOS,L,29,11,5,13,38.5,0,0,-,1,2,50.0,1,5,6,5,1,0,0,0,12
Luke Kennard,DET,12/08/2017,DET vs. GSW,L,15,4,2,4,50.0,0,1,0.0,0,0,-,1,2,3,1,0,0,0,1,1
Andre Drummond,DET,12/08/2017,DET vs. GSW,L,34,8,2,9,22.2,0,0,-,4,10,40.0,5,12,17,4,1,1,3,1,-13
Boban Marjanovic,DET,12/08/2017,DET vs. GSW,L,14,10,5,8,62.5,0,0,-,0,0,-,2,2,4,1,0,0,2,3,9
Anthony Tolliver,DET,12/08/2017,DET vs. GSW,L,28,10,3,8,37.5,2,5,40.0,2,2,100.0,0,3,3,2,0,0,0,5,4
Reggie Jackson,DET,12/08/2017,DET vs. GSW,L,27,16,7,16,43.8,2,3,66.7,0,2,0.0,2,1,3,2,0,0,3,1,-6
Tobias Harris,DET,12/08/2017,DET vs. GSW,L,32,11,4,12,33.3,2,5,40.0,1,1,100.0,0,5,5,2,0,1,0,1,-16
Ish Smith,DET,12/08/2017,DET vs. GSW,L,21,6,3,7,42.9,0,0,-,0,0,-,0,1,1,4,2,0,1,1,2
Langston Galloway,DET,12/08/2017,DET vs. GSW,L,14,6,2,6,33.3,2,4,50.0,0,0,-,1,4,5,2,1,0,0,0,11
Stanley Johnson,DET,12/08/2017,DET vs. GSW,L,23,2,1,5,20.0,0,2,0.0,0,0,-,2,2,4,2,4,0,1,3,-8
